Gene,five_prime_utr,three_prime_utr,mtif_support
YDL131W,36.0,102.0,752
YDL132W,,,0
YDL133C-A,18.0,201.0,2590
YDL133W,135.0,99.0,164
YDL134C,471.0,82.0,873
YDL135C,45.0,278.0,290
YDL136W,33.0,75.0,486
YDL137W,102.0,130.0,977
YDL138W,234.0,144.0,4
YDL139C,19.0,103.0,3
YDL140C,,,0
YDL141W,187.0,263.0,25
YDL142C,63.0,127.0,51
YDL143W,35.0,98.0,2711
YDL144C,17.0,92.0,63
YDL145C,255.0,182.0,8
YDL146W,191.0,22.0,10
YDL147W,59.0,146.0,473
YDL148C,30.0,281.0,14
YDL149W,45.0,97.0,4
YDL150W,136.0,125.0,3
YDL151C,,,0
YDL152W,,,0
YDL153C,26.0,141.0,117
YDL154W,654.0,97.0,1
YDL155W,130.0,131.0,73
YDL156W,94.0,988.0,12
YDL157C,35.0,205.0,311
YDL158C,449.0,6.0,24
YDL159C-B,,,0
YDL159W,46.0,122.0,75
YDL159W-A,,,0
YDL160C,284.0,442.0,9
YDL160C-A,28.0,197.0,116
YDL161W,16.0,108.0,227
YDL162C,,,0
YDL163W,,,0
YDL164C,51.0,162.0,134
YDL165W,49.0,35.0,72
YDL166C,54.0,75.0,58
YDL167C,56.0,179.0,38
YDL168W,42.0,52.0,53
YDL169C,20.0,73.0,7
YDL170W,0.0,153.0,12
YDL171C,,,0
YDL172C,14.0,2040.0,1
YDL173W,,,0
YDL174C,30.0,92.0,8
YDL175C,27.0,218.0,16
YDL176W,137.0,115.0,73
YDL177C,64.0,96.0,78
YDL178W,25.0,63.0,33
YDL179W,95.0,152.0,87
YDL180W,132.0,63.0,66
YDL181W,80.0,109.0,542
YDL182W,38.0,88.0,1787
YDL183C,74.0,56.0,17
YDL184C,22.0,210.0,62593
YDL185C-A,,,0
YDL185W,98.0,105.0,104
YDL186W,153.0,69.0,1
YDL187C,662.0,151.0,5
YDL188C,182.0,154.0,26
YDL189W,91.0,106.0,233
YDL190C,193.0,208.0,14
YDL191W,22.0,99.0,3609
YDL192W,43.0,59.0,4989
YDL193W,107.0,200.0,12
YDL194W,,,0
YDL195W,119.0,127.0,6
YDL196W,,,0
YDL197C,14.0,94.0,35
YDL198C,28.0,122.0,83
YDL199C,55.0,84.0,8
YDL200C,4.0,72.0,51
YDL201W,76.0,83.0,122
YDL202W,53.0,91.0,183
YDL203C,177.0,196.0,15
YDL204W,498.0,179.0,25
YDL205C,155.0,166.0,13
YDL206W,149.0,19.0,4
YDL207W,38.0,80.0,7
YDL208W,37.0,127.0,2022
YDL209C,22.0,196.0,11
YDL210W,,,0
YDL211C,69.0,118.0,5
YDL212W,22.0,145.0,323
YDL213C,9.0,73.0,1323
YDL214C,167.0,111.0,2
YDL215C,46.0,154.0,2
YDL216C,10.0,404.0,8
YDL217C,135.0,103.0,62
YDL218W,345.0,237.0,5
YDL219W,26.0,277.0,143
YDL220C,20.0,356.0,2
YDL221W,875.0,625.0,3
YDL222C,912.0,410.0,2
YDL223C,,,0
YDL224C,364.0,146.0,23
YDL225W,50.0,88.0,159
YDL226C,23.0,230.0,65
YDL227C,33.0,58.0,1
YDL228C,,,0
YDL229W,30.0,102.0,32916
YDL230W,26.0,61.0,8
YDL231C,21.0,71.0,1
YDL232W,19.0,288.0,486
YDL233W,22.0,167.0,76
YDL234C,143.0,58.0,25
YDL235C,114.0,143.0,46
YDL236W,15.0,140.0,31
YDL237W,23.0,79.0,180
YDL238C,28.0,66.0,17
YDL239C,693.0,44.0,1
YDL240C-A,,,0
YDL240W,166.0,243.0,3
YDL241W,80.0,329.0,3
YDL242W,,,0
YDL243C,722.0,110.0,14
YDL244W,,,0
YDL245C,,,0
YDL246C,,,0
YDL247W,,,0
YDL247W-A,,,0
YDL248W,7.0,616.0,4
YDR001C,190.0,111.0,4
YDR002W,29.0,180.0,996
YDR003W,45.0,307.0,31
YDR003W-A,705.0,157.0,31
YDR004W,1127.0,188.0,2
YDR005C,108.0,167.0,14
YDR006C,106.0,106.0,13
YDR007W,10.0,39.0,281
YDR008C,,,0
YDR009W,71.0,87.0,1979
YDR010C,355.0,38.0,2
YDR011W,249.0,175.0,1
YDR012W,32.0,77.0,1159
YDR013W,16.0,89.0,113
YDR014W,51.0,220.0,9
YDR014W-A,20.0,172.0,1
YDR015C,,,0
YDR016C,36.0,122.0,403
YDR017C,14.0,173.0,6
YDR018C,29.0,163.0,2
YDR019C,29.0,315.0,24
YDR020C,103.0,416.0,15
YDR021W,11.0,58.0,10
YDR022C,28.0,96.0,5
YDR023W,22.0,133.0,2696
YDR024W,1531.0,919.0,4
YDR025W,14.0,89.0,23074
YDR026C,143.0,79.0,20
YDR027C,123.0,68.0,7
YDR028C,489.0,278.0,6
YDR029W,,,0
YDR030C,8.0,140.0,19
YDR031W,7.0,148.0,50
YDR032C,69.0,153.0,116
YDR033W,246.0,482.0,716
YDR034C,139.0,73.0,20
YDR034C-A,,,0
YDR034W-B,30.0,298.0,21
YDR035W,21.0,230.0,30
YDR036C,10.0,139.0,31
YDR037W,21.0,66.0,854
YDR038C,,,0
YDR039C,,,0
YDR040C,,,0
YDR041W,8.0,161.0,188
YDR042C,58.0,101.0,2
YDR043C,204.0,115.0,1
YDR044W,43.0,137.0,274
YDR045C,155.0,220.0,51
YDR046C,90.0,82.0,2048
YDR047W,124.0,76.0,979
YDR048C,2251.0,2417.0,2
YDR049W,37.0,158.0,21
YDR050C,30.0,77.0,70148
YDR051C,46.0,60.0,71
YDR052C,154.0,241.0,12
YDR053W,,,0
YDR054C,174.0,467.0,4
YDR055W,61.0,167.0,47
YDR056C,58.0,104.0,159
YDR057W,25.0,186.0,12
YDR058C,38.0,132.0,6
YDR059C,46.0,110.0,148
YDR060W,41.0,88.0,16
YDR061W,55.0,110.0,153
YDR062W,367.0,271.0,121
YDR063W,68.0,70.0,38
YDR064W,21.0,107.0,6337
YDR065W,37.0,584.0,22
YDR066C,89.0,104.0,9
YDR067C,54.0,100.0,19
YDR068W,40.0,92.0,73
YDR069C,47.0,301.0,3
YDR070C,60.0,153.0,37
YDR071C,63.0,81.0,196
YDR072C,126.0,94.0,54
YDR073W,84.0,252.0,14
YDR074W,94.0,238.0,10
YDR075W,174.0,159.0,10
YDR076W,55.0,1123.0,4
YDR077W,31.0,330.0,17665
YDR078C,17.0,99.0,32
YDR079C-A,33.0,212.0,376
YDR079W,31.0,211.0,42
YDR080W,32.0,56.0,20
YDR081C,87.0,35.0,27
YDR082W,92.0,138.0,172
YDR083W,22.0,90.0,31
YDR084C,34.0,201.0,87
YDR085C,191.0,35.0,5
YDR086C,93.0,201.0,468
YDR087C,29.0,93.0,254
YDR088C,209.0,187.0,16
YDR089W,43.0,92.0,17
YDR090C,114.0,337.0,319
YDR091C,72.0,342.0,897
YDR092W,24.0,94.0,126
YDR093W,,,0
YDR094W,822.0,5.0,43
YDR095C,,,0
YDR096W,89.0,214.0,3
YDR097C,93.0,61.0,12
YDR098C,38.0,49.0,561
YDR099W,66.0,227.0,37
YDR100W,40.0,126.0,229
YDR101C,22.0,119.0,363
YDR102C,,,0
YDR103W,611.0,46.0,3
YDR104C,49.0,36.0,1
YDR105C,51.0,86.0,79
YDR106W,22.0,47.0,3
YDR107C,15.0,140.0,61
YDR108W,36.0,87.0,26
YDR109C,0.0,160.0,7
YDR110W,38.0,183.0,23
YDR111C,221.0,151.0,18
YDR112W,,,0
YDR113C,85.0,74.0,9
YDR114C,1669.0,1938.0,2
YDR115W,40.0,114.0,134
YDR116C,25.0,119.0,71
YDR117C,38.0,45.0,91
YDR118W,38.0,126.0,14
YDR118W-A,271.0,277.0,45
YDR119W,95.0,55.0,34
YDR119W-A,39.0,245.0,886
YDR120C,0.0,210.0,54
YDR121W,120.0,108.0,50
YDR122W,307.0,138.0,3
YDR123C,76.0,616.0,17
YDR124W,94.0,380.0,8
YDR125C,86.0,1243.0,2
YDR126W,5.0,262.0,5
YDR127W,23.0,70.0,3
YDR128W,15.0,136.0,1
YDR129C,46.0,146.0,356
YDR130C,28.0,270.0,8
YDR131C,77.0,74.0,9
YDR132C,75.0,117.0,10
YDR133C,236.0,174.0,5119
YDR135C,70.0,94.0,3
YDR136C,,,0
YDR137W,100.0,137.0,18
YDR138W,12.0,54.0,4
YDR139C,51.0,174.0,340
YDR140W,14.0,104.0,99
YDR141C,,,0
YDR142C,177.0,126.0,6
YDR143C,146.0,194.0,33
YDR144C,140.0,83.0,208
YDR145W,87.0,199.0,10
YDR146C,167.0,66.0,2
YDR147W,448.0,37.0,22
YDR148C,77.0,284.0,50
YDR149C,,,0
YDR150W,,,0
YDR151C,167.0,118.0,4
YDR152W,18.0,38.0,27
YDR153C,133.0,119.0,12
YDR154C,284.0,12.0,2002
YDR155C,37.0,107.0,4528
YDR156W,34.0,93.0,853
YDR157W,438.0,21.0,2
YDR158W,35.0,114.0,248
YDR159W,90.0,41.0,1
YDR160W,,,0
YDR161W,41.0,82.0,32
YDR162C,119.0,211.0,62
YDR163W,55.0,105.0,1
YDR164C,42.0,111.0,114
YDR165W,42.0,82.0,50
YDR166C,49.0,100.0,4
YDR167W,32.0,100.0,666
YDR168W,40.0,77.0,293
YDR169C,366.0,397.0,37
YDR169C-A,198.0,2621.0,1
YDR170C,,,0
YDR171W,86.0,84.0,42
YDR172W,44.0,176.0,216
YDR173C,63.0,140.0,3
YDR174W,23.0,172.0,778
YDR175C,47.0,116.0,68
YDR176W,35.0,33.0,11
YDR177W,98.0,111.0,49
YDR178W,102.0,196.0,4253
YDR179C,35.0,123.0,20
YDR179W-A,61.0,46.0,90
YDR180W,143.0,51.0,4
YDR181C,1.0,186.0,14
YDR182W,53.0,117.0,14
YDR182W-A,11.0,279.0,2
YDR183C-A,888.0,6.0,16
YDR183W,41.0,195.0,8
YDR184C,29.0,238.0,16
YDR185C,103.0,126.0,30
YDR186C,84.0,122.0,13
YDR187C,,,0
YDR188W,61.0,163.0,1671
YDR189W,42.0,114.0,20
YDR190C,46.0,77.0,353
YDR191W,44.0,109.0,16
YDR192C,45.0,92.0,20
YDR193W,775.0,189.0,0
YDR194C,23.0,155.0,54
YDR194W-A,,,0
YDR195W,239.0,84.0,35
YDR196C,0.0,91.0,672
YDR197W,33.0,129.0,20
YDR198C,16.0,36.0,31
YDR199W,19.0,22.0,0
YDR200C,65.0,136.0,88
YDR201W,0.0,117.0,156
YDR202C,31.0,36.0,69
YDR203W,1.0,1277.0,1
YDR204W,12.0,86.0,42
YDR205W,10.0,100.0,7
YDR206W,335.0,104.0,4
YDR207C,69.0,94.0,1
YDR208W,124.0,134.0,5
YDR209C,,,0
YDR210W,8.0,183.0,44
YDR211W,51.0,152.0,16
YDR212W,65.0,88.0,3438
YDR213W,214.0,40.0,14
YDR214W,116.0,97.0,275
YDR215C,121.0,1482.0,3
YDR216W,499.0,282.0,1
YDR217C,41.0,45.0,1
YDR218C,,,0
YDR219C,204.0,200.0,31
YDR220C,,,0
YDR221W,13.0,531.0,82
YDR222W,36.0,151.0,13
YDR223W,116.0,354.0,2
YDR224C,34.0,127.0,1280
YDR225W,75.0,159.0,1997
YDR226W,23.0,127.0,1986
YDR227W,127.0,166.0,3
YDR228C,91.0,66.0,2
YDR229W,101.0,54.0,48
YDR230W,,,0
YDR231C,16.0,171.0,230
YDR232W,251.0,181.0,26
YDR233C,59.0,146.0,246
YDR234W,52.0,102.0,281
YDR235W,0.0,83.0,66
YDR236C,25.0,109.0,281
YDR237W,142.0,126.0,60
YDR238C,29.0,196.0,58
YDR239C,25.0,80.0,26
YDR240C,20.0,59.0,49
YDR241W,1621.0,372.0,1
YDR242W,96.0,95.0,13
YDR243C,29.0,19.0,5
YDR244W,25.0,111.0,18
YDR245W,84.0,147.0,30
YDR246W,35.0,150.0,21
YDR246W-A,,,0
YDR247W,229.0,390.0,6
YDR248C,58.0,87.0,64
YDR249C,58.0,116.0,12
YDR250C,166.0,128.0,1
YDR251W,306.0,135.0,11
YDR252W,8.0,665.0,13
YDR253C,203.0,80.0,12
YDR254W,72.0,31.0,5
YDR255C,45.0,958.0,14
YDR256C,42.0,180.0,2
YDR257C,4.0,315.0,34
YDR258C,29.0,106.0,138
YDR259C,221.0,144.0,3
YDR260C,40.0,373.0,244
YDR261C,35.0,114.0,45
YDR262W,11.0,196.0,401
YDR263C,99.0,101.0,4
YDR264C,26.0,274.0,50
YDR265W,44.0,187.0,6
YDR266C,216.0,134.0,15
YDR267C,71.0,146.0,12
YDR268W,51.0,103.0,33
YDR269C,,,0
YDR270W,79.0,78.0,6
YDR271C,27.0,417.0,1
YDR272W,57.0,43.0,92
YDR273W,1223.0,33.0,8
YDR274C,911.0,346.0,1
YDR275W,673.0,285.0,125
YDR276C,75.0,192.0,1334
YDR277C,158.0,191.0,1707
YDR278C,,,0
YDR279W,67.0,27.0,10
YDR280W,108.0,104.0,48
YDR281C,31.0,176.0,90
YDR282C,7.0,192.0,61
YDR283C,,,0
YDR284C,281.0,87.0,37
YDR285W,525.0,186.0,0
YDR286C,6.0,86.0,188
YDR287W,32.0,86.0,70
YDR288W,33.0,163.0,8
YDR289C,26.0,68.0,9
YDR290W,,,0
YDR291W,38.0,290.0,1
YDR292C,132.0,79.0,87
YDR293C,106.0,327.0,1
YDR294C,33.0,45.0,355
YDR295C,263.0,81.0,13
YDR296W,53.0,87.0,661
YDR297W,36.0,163.0,60
YDR298C,118.0,177.0,5229
YDR299W,52.0,77.0,39
YDR300C,52.0,110.0,150
YDR301W,70.0,131.0,5
YDR302W,43.0,73.0,374
YDR303C,292.0,107.0,25
YDR304C,30.0,72.0,303
YDR305C,2.0,65.0,3
YDR306C,52.0,95.0,41
YDR307W,59.0,136.0,45
YDR308C,41.0,108.0,113
YDR309C,50.0,17.0,86
YDR310C,278.0,195.0,6
YDR311W,25.0,102.0,58
YDR312W,32.0,99.0,26
YDR313C,19.0,178.0,6
YDR314C,94.0,107.0,5
YDR315C,47.0,135.0,3
YDR316W,14.0,79.0,118
YDR317W,51.0,81.0,5
YDR318W,16.0,138.0,19
YDR319C,79.0,74.0,25
YDR320C,25.0,91.0,256
YDR320C-A,0.0,79.0,205
YDR320W-B,228.0,1336.0,6
YDR321W,31.0,105.0,35
YDR322C-A,18.0,206.0,15358
YDR322W,26.0,94.0,33
YDR323C,30.0,147.0,15
YDR324C,11.0,191.0,1
YDR325W,262.0,307.0,2
YDR326C,192.0,145.0,1
YDR327W,,,0
YDR328C,67.0,193.0,2668
YDR329C,22.0,73.0,92
YDR330W,59.0,207.0,134
YDR331W,21.0,134.0,39
YDR332W,25.0,79.0,97
YDR333C,37.0,216.0,19
YDR334W,,,0
YDR335W,357.0,90.0,16
YDR336W,7.0,61.0,55
YDR337W,49.0,52.0,32
YDR338C,59.0,134.0,82
YDR339C,24.0,79.0,173
YDR340W,,,0
YDR341C,21.0,88.0,2040
YDR342C,86.0,142.0,685
YDR343C,86.0,160.0,3
YDR344C,,,0
YDR345C,32.0,144.0,4181
YDR346C,157.0,315.0,152
YDR347W,64.0,117.0,78
YDR348C,199.0,174.0,47
YDR349C,105.0,122.0,97
YDR350C,28.0,75.0,36
YDR351W,49.0,154.0,2
YDR352W,178.0,237.0,12
YDR353W,48.0,51.0,320
YDR354C-A,,,0
YDR354W,76.0,69.0,86
YDR355C,,,0
YDR356W,27.0,274.0,4
YDR357C,79.0,67.0,52
YDR358W,52.0,161.0,8
YDR359C,315.0,183.0,4
YDR360W,1870.0,188.0,0
YDR361C,26.0,251.0,138
YDR362C,110.0,51.0,136
YDR363W,176.0,819.0,27
YDR363W-A,22.0,75.0,221
YDR364C,23.0,473.0,21
YDR365C,64.0,92.0,182
YDR366C,,,0
YDR367W,37.0,36.0,45
YDR368W,51.0,162.0,1620
YDR369C,12.0,106.0,9
YDR370C,10.0,53.0,11
YDR371C-A,284.0,169.0,1
YDR371W,60.0,138.0,32
YDR372C,271.0,153.0,30
YDR373W,77.0,131.0,1
YDR374C,,,0
YDR374W-A,21.0,176.0,93
YDR375C,21.0,58.0,5
YDR376W,63.0,35.0,37
YDR377W,29.0,284.0,809
YDR378C,18.0,209.0,476
YDR379C-A,6.0,154.0,16
YDR379W,76.0,78.0,4
YDR380W,105.0,128.0,119
YDR381C-A,1.0,118.0,520
YDR381W,97.0,192.0,100
YDR382W,81.0,145.0,2566
YDR383C,19.0,75.0,15
YDR384C,85.0,161.0,109
YDR385W,36.0,152.0,438
YDR386W,21.0,109.0,22
YDR387C,146.0,183.0,13
YDR388W,51.0,121.0,17885
YDR389W,449.0,184.0,4
YDR390C,29.0,52.0,243
YDR391C,11.0,81.0,90
YDR392W,41.0,130.0,66
YDR393W,26.0,113.0,24
YDR394W,53.0,87.0,631
YDR395W,116.0,97.0,35
YDR396W,,,0
YDR397C,77.0,98.0,1634
YDR398W,35.0,99.0,234
YDR399W,69.0,106.0,558
YDR400W,20.0,154.0,22
YDR401W,1227.0,1830.0,1
YDR402C,,,0
YDR403W,50.0,205.0,3
YDR404C,192.0,148.0,382
YDR405W,53.0,106.0,168
YDR406W,130.0,120.0,1
YDR406W-A,,,0
YDR407C,106.0,69.0,3
YDR408C,46.0,184.0,661
YDR409W,,,0
YDR410C,18.0,103.0,13
YDR411C,50.0,64.0,42
YDR412W,49.0,141.0,778
YDR413C,,,0
YDR414C,197.0,129.0,14
YDR415C,55.0,94.0,16
YDR416W,63.0,32.0,34
YDR417C,,,0
YDR418W,34.0,81.0,8934
YDR419W,5.0,335.0,7
YDR420W,,,0
YDR421W,65.0,29.0,8
YDR422C,56.0,290.0,48
YDR423C,15.0,65.0,2
YDR424C,26.0,49.0,31
YDR425W,46.0,111.0,3
YDR426C,,,0
YDR427W,32.0,82.0,99
YDR428C,33.0,110.0,50
YDR429C,17.0,102.0,1235
YDR430C,65.0,33.0,3
YDR431W,,,0
YDR432W,28.0,250.0,1931
YDR433W,845.0,237.0,1931
YDR434W,96.0,115.0,78
YDR435C,14.0,41.0,46
YDR436W,253.0,162.0,12
YDR437W,67.0,1668.0,6
YDR438W,989.0,56.0,6
YDR439W,233.0,108.0,4
YDR440W,87.0,80.0,20
YDR441C,149.0,244.0,60
YDR442W,14.0,727.0,4
YDR443C,59.0,332.0,1
YDR444W,85.0,45.0,79
YDR445C,,,0
YDR446W,269.0,178.0,1
YDR447C,35.0,118.0,1071
YDR448W,11.0,103.0,3
YDR449C,41.0,70.0,523
YDR450W,21.0,115.0,2883
YDR451C,53.0,160.0,97
YDR452W,150.0,165.0,134
YDR453C,68.0,87.0,72
YDR454C,16.0,103.0,1051
YDR455C,,,0
YDR456W,66.0,106.0,111
YDR457W,,,0
YDR458C,34.0,174.0,25
YDR459C,105.0,108.0,8
YDR460W,112.0,100.0,14
YDR461C-A,22.0,168.0,29
YDR461W,28.0,146.0,4
YDR462W,54.0,123.0,68
YDR463W,45.0,203.0,379
YDR464C-A,,,0
YDR464W,129.0,87.0,1
YDR465C,43.0,184.0,38
YDR466W,95.0,162.0,21
YDR467C,885.0,783.0,4
YDR468C,94.0,119.0,51
YDR469W,40.0,67.0,62
YDR470C,81.0,175.0,6
YDR471W,25.0,117.0,7283
YDR472W,14.0,123.0,98
YDR473C,54.0,86.0,16
YDR475C,98.0,111.0,21
YDR476C,18.0,202.0,3133
YDR477W,294.0,137.0,92
YDR478W,40.0,71.0,6
YDR479C,48.0,90.0,67
YDR480W,,,0
YDR481C,55.0,57.0,6
YDR482C,14.0,104.0,93
YDR483W,26.0,112.0,1853
YDR484W,42.0,105.0,8
YDR485C,21.0,133.0,5
YDR486C,9.0,144.0,82
YDR487C,58.0,104.0,102
YDR488C,11.0,929.0,3
YDR489W,9.0,80.0,91
YDR490C,85.0,83.0,38
YDR491C,,,0
YDR492W,154.0,69.0,198
YDR493W,101.0,102.0,89
YDR494W,33.0,77.0,32
YDR495C,45.0,151.0,3
YDR496C,28.0,74.0,342
YDR497C,75.0,109.0,443
YDR498C,35.0,50.0,40
YDR499W,7.0,120.0,4
YDR500C,21.0,87.0,324
YDR501W,117.0,231.0,2
YDR502C,48.0,293.0,508
YDR503C,83.0,212.0,12
YDR504C,474.0,168.0,60
YDR505C,155.0,610.0,7
YDR506C,39.0,424.0,68
YDR507C,38.0,182.0,2
YDR508C,44.0,17.0,3562
YDR509W,,,0
YDR510C-A,988.0,3259.0,1
YDR510W,85.0,142.0,1861
YDR511W,13.0,83.0,35
YDR512C,131.0,83.0,1
YDR513W,22.0,82.0,2529
YDR514C,61.0,81.0,20
YDR515W,227.0,96.0,7
YDR516C,52.0,118.0,35
YDR517W,64.0,103.0,103
YDR518W,25.0,50.0,1146
YDR519W,8.0,213.0,850
YDR520C,82.0,104.0,9
YDR521W,,,0
YDR522C,,,0
YDR523C,225.0,52.0,1
YDR524C,67.0,309.0,103
YDR524C-A,386.0,340.0,5
YDR524C-B,45.0,322.0,11366
YDR524W-C,65.0,121.0,0
YDR525W,,,0
YDR525W-A,28.0,227.0,361
YDR526C,1534.0,177.0,1
YDR527W,31.0,78.0,26
YDR528W,318.0,104.0,15
YDR529C,31.0,190.0,641
YDR530C,4.0,63.0,15
YDR531W,45.0,82.0,23
YDR532C,6.0,62.0,5
YDR533C,21.0,251.0,20
YDR534C,22.0,228.0,2
YDR535C,265.0,1649.0,3
YDR536W,28.0,146.0,6
YDR537C,247.0,971.0,1
YDR538W,61.0,236.0,39
YDR539W,32.0,60.0,65
YDR540C,122.0,335.0,2
YDR541C,183.0,227.0,4
YDR542W,,,0
YDR543C,,,0
YDR544C,,,0
YDR545C-A,,,0
YDR545W,,,0
YIL001W,74.0,59.0,23
YIL002C,152.0,82.0,5
YIL002W-A,28.0,90.0,181
YIL003W,46.0,109.0,38
YIL004C,362.0,66.0,9
YIL005W,133.0,185.0,29
YIL006W,206.0,242.0,4
YIL007C,44.0,95.0,33
YIL008W,46.0,130.0,166
YIL009C-A,12.0,41.0,25
YIL009W,8.0,235.0,249
YIL010W,39.0,179.0,67
YIL011W,32.0,106.0,144
YIL012W,327.0,285.0,6
YIL013C,,,0
YIL014C-A,79.0,207.0,15
YIL014W,174.0,103.0,18
YIL015W,198.0,76.0,2
YIL016W,25.0,55.0,84
YIL017C,70.0,117.0,6
YIL018W,24.0,87.0,2421
YIL019W,20.0,173.0,19
YIL020C,21.0,137.0,56
YIL020C-A,,,0
YIL021C-A,,,0
YIL021W,62.0,135.0,590
YIL022W,109.0,257.0,1504
YIL023C,15.0,122.0,23
YIL024C,401.0,111.0,37
YIL025C,,,0
YIL026C,55.0,146.0,3
YIL027C,58.0,89.0,32
YIL028W,534.0,866.0,23
YIL029C,105.0,389.0,23
YIL029W-A,,,0
YIL030C,57.0,79.0,9
YIL030W-A,278.0,21.0,64
YIL031W,170.0,158.0,5
YIL032C,,,0
YIL033C,108.0,179.0,109
YIL034C,6.0,72.0,79
YIL035C,100.0,351.0,339
YIL036W,150.0,176.0,18
YIL037C,34.0,116.0,1
YIL038C,238.0,176.0,9
YIL039W,29.0,99.0,76
YIL040W,9.0,94.0,101
YIL041W,22.0,85.0,3191
YIL042C,38.0,110.0,38
YIL043C,20.0,98.0,1660
YIL044C,26.0,171.0,42
YIL045W,94.0,39.0,16
YIL046W,45.0,113.0,42
YIL046W-A,193.0,68.0,8
YIL047C,15.0,196.0,7
YIL047C-A,950.0,194.0,70
YIL048W,248.0,125.0,1
YIL049W,6.0,69.0,20
YIL050W,114.0,136.0,24
YIL051C,29.0,116.0,4642
YIL052C,31.0,48.0,4580
YIL053W,28.0,135.0,1088
YIL054W,1130.0,164.0,4
YIL055C,841.0,78.0,1
YIL056W,114.0,56.0,78
YIL057C,71.0,101.0,9
YIL058W,,,0
YIL059C,548.0,566.0,2
YIL060W,,,0
YIL061C,19.0,42.0,7
YIL062C,27.0,147.0,286
YIL063C,45.0,41.0,88
YIL064W,51.0,91.0,1
YIL065C,39.0,70.0,188
YIL066C,1024.0,144.0,1
YIL066W-A,80.0,47.0,1
YIL067C,59.0,83.0,126
YIL068C,59.0,100.0,7
YIL068W-A,38.0,62.0,0
YIL069C,45.0,187.0,1966
YIL070C,55.0,106.0,43
YIL071C,30.0,256.0,4
YIL071W-A,1237.0,57.0,1
YIL072W,,,0
YIL073C,,,0
YIL074C,121.0,53.0,114
YIL075C,62.0,105.0,11
YIL076W,12.0,163.0,99
YIL077C,17.0,133.0,73
YIL078W,48.0,73.0,8502
YIL079C,30.0,124.0,24
YIL082W,,,0
YIL083C,105.0,96.0,50
YIL084C,42.0,1841.0,33
YIL085C,47.0,55.0,118
YIL086C,38.0,598.0,2
YIL087C,74.0,92.0,188
YIL088C,73.0,72.0,79
YIL089W,86.0,55.0,5
YIL090W,138.0,327.0,64
YIL091C,31.0,54.0,511
YIL092W,78.0,97.0,24
YIL093C,75.0,118.0,50
YIL094C,23.0,81.0,256
YIL095W,172.0,70.0,18
YIL096C,27.0,97.0,7
YIL097W,9.0,112.0,25
YIL098C,43.0,94.0,111
YIL099W,47.0,139.0,1
YIL100C-A,,,0
YIL100W,,,0
YIL101C,37.0,104.0,3
YIL102C,,,0
YIL102C-A,55.0,322.0,29
YIL103W,50.0,73.0,54
YIL104C,34.0,98.0,162
YIL105C,141.0,38.0,8
YIL105W-A,1353.0,677.0,0
YIL106W,16.0,103.0,10
YIL107C,168.0,9.0,28
YIL108W,24.0,83.0,29
YIL109C,87.0,115.0,33
YIL110W,31.0,164.0,71
YIL111W,23.0,34.0,29
YIL112W,44.0,130.0,15
YIL113W,37.0,106.0,2
YIL114C,31.0,165.0,12
YIL115C,180.0,57.0,3
YIL115W-A,,,0
YIL116W,34.0,24.0,2
YIL117C,107.0,120.0,3
YIL118W,114.0,155.0,70
YIL119C,201.0,307.0,11
YIL120W,196.0,107.0,1
YIL121W,4.0,170.0,141
YIL122W,302.0,156.0,9
YIL123W,222.0,337.0,492
YIL124W,31.0,100.0,693
YIL125W,275.0,203.0,8
YIL126W,82.0,134.0,37
YIL127C,24.0,87.0,597
YIL128W,76.0,134.0,3
YIL129C,,,0
YIL130W,,,0
YIL131C,57.0,150.0,17
YIL132C,11.0,395.0,3
YIL133C,18.0,87.0,552
YIL134C-A,434.0,1612.0,4
YIL134W,24.0,67.0,20
YIL135C,58.0,155.0,196
YIL136W,12.0,99.0,63
YIL137C,49.0,82.0,30
YIL138C,10.0,351.0,252
YIL139C,21.0,122.0,25
YIL140W,103.0,124.0,5
YIL141W,,,0
YIL142C-A,1303.0,169.0,1
YIL142W,27.0,52.0,279
YIL143C,34.0,254.0,1
YIL144W,80.0,205.0,4
YIL145C,9.0,326.0,43
YIL146C,356.0,215.0,31
YIL147C,216.0,287.0,4
YIL148W,26.0,65.0,2438
YIL149C,,,0
YIL150C,31.0,53.0,58
YIL151C,174.0,43.0,1
YIL152W,13.0,25.0,91
YIL153W,21.0,55.0,18
YIL154C,25.0,71.0,114
YIL155C,33.0,341.0,78
YIL156W,20.0,116.0,1
YIL156W-A,,,0
YIL156W-B,13.0,98.0,81
YIL157C,4.0,208.0,62
YIL158W,11.0,85.0,53
YIL159W,24.0,59.0,2
YIL160C,34.0,105.0,2
YIL161W,20.0,39.0,24
YIL162W,39.0,220.0,471
YIL163C,29.0,1786.0,1
YIL164C,78.0,489.0,28
YIL165C,525.0,174.0,32
YIL166C,416.0,94.0,2
YIL169C,40.0,276.0,2
YIL171W-A,,,0
YIL172C,,,0
YIL173W,,,0
YIL176C,,,0
YIL177C,,,0
YIL177W-A,,,0
YIR001C,65.0,329.0,5
YIR002C,91.0,117.0,6
YIR003W,13.0,70.0,260
YIR004W,53.0,116.0,32
YIR005W,45.0,78.0,8
YIR006C,37.0,87.0,1
YIR007W,7.0,108.0,18
YIR008C,59.0,85.0,9
YIR009W,78.0,450.0,12
YIR010W,68.0,107.0,50
YIR011C,16.0,110.0,95
