gene	max_five_prime_utr	max_three_prime_utr
YDR528W	172	127
YDR529C	31	193
YDR530C	137	75
YDR531W	100	79
YDR532C	61	63
YDR533C	164	68
YDR534C	357	215
YDR536W	105	83
YDR537C	461	866
YDR538W	920	228
YDR539W	610	66
YDR540C	17	320
YDR541C	226	191
YDR545C-A	47	623
YDR545W	534	847
YEL001C	35	96
YEL002C	49	76
YEL003W	76	125
YEL004W	38	38
YEL005C	423	86
YEL006W	50	192
YEL007W	239	33
YEL011W	514	115
YEL012W	98	14
YEL013W	237	170
YEL014C	145	378
YEL015W	50	83
YEL016C	265	94
YEL017C-A	59	53
YEL017W	158	91
YEL018C-A	479	7
YEL018W	13	92
YEL020C	826	12
YEL020C-B	211	22
YEL020W-A	62	90
YEL022W	103	77
YEL023C	549	84
YEL024W	102	403
YEL025C	125	270
YEL027W	79	259
YEL028W	594	55
YEL029C	194	104
YEL030W	421	37
YEL031W	26	104
YEL032W	40	152
YEL033W	578	0
YEL034C-A	166	13
YEL034W	76	219
YEL036C	166	84
YEL037C	173	179
YEL038W	34	61
YEL040W	21	150
YEL041W	252	404
YEL042W	199	130
YEL043W	35	90
YEL044W	461	116
YEL046C	96	474
YEL047C	10	78
YEL048C	10	506
YEL050C	67	141
YEL050W-A	57	263
YEL051W	43	102
YEL052W	33	71
YEL053C	86	91
YEL053W-A	448	21
YEL054C	31	90
YEL055C	65	105
YEL056W	324	111
YEL057C	82	174
YEL058W	24	80
YEL059C-A	66	67
YEL060C	43	27
YEL061C	132	230
YEL062W	164	35
YEL063C	235	282
YEL064C	22	110
YEL065W	124	79
YEL066W	394	83
YEL067C	542	789
YEL068C	517	236
YEL070W	14	124
YEL071W	56	100
YEL072W	132	127
YEL073C	265	500
YEL077C	956	805
YEL077W-A	90	637
YER001W	38	105
YER002W	51	97
YER003C	0	67
YER004W	107	253
YER005W	62	114
YER006C-A	6	372
YER006W	28	97
YER007C-A	0	91
YER007W	12	84
YER008C	46	90
YER009W	54	165
YER010C	35	92
YER011W	49	62
YER012W	75	135
YER013W	0	83
YER014C-A	326	808
YER014W	29	113
YER015W	70	236
YER016W	40	120
YER017C	69	148
YER018C	340	75
YER019C-A	65	57
YER019W	370	93
YER020W	95	176
YER021W	52	125
YER022W	25	103
YER023C-A	417	311
YER023W	25	70
YER024W	20	107
YER025W	54	262
YER026C	55	117
YER027C	68	198
YER028C	84	59
YER029C	59	99
YER030W	32	127
YER031C	24	149
YER032W	57	264
YER033C	5	178
YER034W	25	219
YER035W	801	138
YER036C	33	108
YER037W	88	221
YER038C	104	536
YER040W	77	257
YER041W	67	164
YER042W	69	77
YER043C	73	223
YER044C	123	126
YER045C	312	123
YER046W	678	61
YER046W-A	136	443
YER047C	179	62
YER048C	89	66
YER048W-A	70	234
YER049W	17	86
YER050C	55	115
YER051W	14	169
YER052C	91	113
YER053C	207	145
YER053C-A	152	364
YER054C	417	189
YER055C	357	83
YER056C	78	123
YER056C-A	0	86
YER057C	61	85
YER059W	150	74
YER060W	781	100
YER061C	37	61
YER062C	145	171
YER063W	129	149
YER064C	52	265
YER065C	532	118
YER066C-A	455	36
YER066W	888	130
YER067C-A	95	239
YER067W	180	92
YER068W	79	104
YER069W	52	124
YER070W	42	205
YER071C	10	144
YER072W	97	135
YER073W	67	276
YER074W	0	104
YER074W-A	57	74
YER075C	328	141
YER076C	381	153
YER077C	316	68
YER078C	200	74
YER079W	68	87
YER080W	16	84
YER081W	461	165
YER082C	50	81
YER083C	24	37
YER084W	0	96
YER086W	51	141
YER087C-A	267	370
YER087W	64	76
YER088C	75	141
YER088C-A	823	428
YER089C	317	77
YER090C-A	525	234
YER090W	66	106
YER091C	59	229
YER092W	28	260
YER093C	86	62
YER093C-A	32	91
YER094C	99	156
YER095W	43	221
YER096W	152	184
YER098W	167	140
YER099C	33	66
YER100W	265	94
YER101C	104	126
YER102W	254	143
YER103W	176	115
YER104W	248	315
YER105C	34	126
YER107C	180	113
YER107W-A	700	4
YER109C	160	279
YER110C	100	154
YER111C	272	53
YER112W	88	100
YER113C	147	142
YER114C	309	230
YER115C	706	68
YER116C	103	133
YER117W	0	65
YER118C	176	139
YER119C	109	96
YER119C-A	868	0
YER120W	34	66
YER121W	19	126
YER122C	70	23
YER123W	176	431
YER124C	54	344
YER125W	479	395
YER126C	62	16
YER127W	98	99
YER128W	32	151
YER129W	486	263
YER130C	93	220
YER131W	0	118
YER132C	452	141
YER133W	0	427
YER133W-A	879	290
YER134C	464	240
YER136W	109	182
YER137C-A	361	735
YER138C	41	316
YER139C	123	658
YER140W	34	226
YER141W	106	232
YER142C	61	85
YER143W	47	110
YER144C	1	124
YER145C	20	103
YER145C-A	135	40
YER146W	40	85
YER147C	204	3
YER147C-A	604	81
YER148W	188	192
YER148W-A	57	19
YER149C	64	80
YER150W	44	119
YER151C	98	74
YER152C	618	55
YER152W-A	883	464
YER154W	227	68
YER155C	109	154
YER156C	5	102
YER157W	12	41
YER158C	181	135
YER159C	191	131
YER159C-A	301	735
YER160C	121	255
YER161C	36	266
YER162C	31	113
YER163C	157	45
YER164W	0	132
YER165W	44	152
YER166W	289	120
YER167W	286	158
YER168C	27	63
YER169W	209	196
YER170W	47	349
YER171W	109	103
YER172C	180	126
YER173W	19	148
YER174C	878	92
YER175C	997	167
YER175W-A	703	266
YER176W	156	118
YER177W	168	177
YER178W	33	134
YER179W	28	46
YER180C	93	46
YER182W	25	87
YER183C	0	82
YER184C	420	346
YER186C	179	148
YER187W	728	142
YER188C-A	859	214
YER188W	193	220
YER190C-B	143	846
YER190W	282	721
YFL001W	26	36
YFL002C	5	134
YFL002W-A	40	315
YFL003C	0	126
YFL004W	17	76
YFL005W	156	218
YFL007W	119	81
YFL008W	39	99
YFL009W	180	87
YFL010C	17	163
YFL010W-A	50	91
YFL013C	22	14
YFL013W-A	111	783
YFL016C	40	104
YFL017C	36	28
YFL017W-A	43	3
YFL018C	77	72
YFL021C-A	998	287
YFL021W	380	129
YFL022C	48	104
YFL023W	5	92
YFL024C	280	405
YFL025C	35	173
YFL026W	43	173
YFL027C	10	68
YFL028C	30	76
YFL029C	35	20
YFL030W	380	9
YFL031C-A	448	7
YFL031W	55	412
YFL032W	0	707
YFL033C	251	224
YFL034C-A	34	69
YFL034C-B	0	111
YFL034W	182	119
YFL036W	190	101
YFL037W	67	226
YFL038C	72	107
YFL039C	0	106
YFL040W	44	17
YFL041W	12	172
YFL042C	20	64
YFL044C	27	115
YFL045C	92	141
YFL046W	42	157
YFL047W	476	60
YFL048C	30	112
YFL049W	17	148
YFL050C	447	271
YFL051C	468	201
YFL052W	9	209
YFL053W	412	172
YFL054C	48	66
YFL055W	192	170
YFL056C	7	5
YFL059W	50	140
YFL061W	850	642
YFR001W	38	74
YFR002W	6	88
YFR003C	58	130
YFR004W	38	55
YFR005C	33	208
YFR006W	13	90
YFR007W	774	55
YFR008W	47	348
YFR009W	59	67
YFR009W-A	710	681
YFR010W	72	53
YFR011C	34	167
YFR013W	42	135
YFR014C	37	194
YFR015C	112	138
YFR016C	25	57
YFR017C	69	73
YFR018C	48	164
YFR019W	8	92
YFR020W	974	103
YFR021W	83	96
YFR022W	254	101
YFR024C-A	0	203
YFR025C	30	94
YFR026C	990	82
YFR027W	63	72
YFR028C	7	57
YFR029W	34	56
YFR030W	42	65
YFR031C	30	57
YFR031C-A	0	122
YFR033C	737	145
YFR034C	32	839
YFR034W-A	313	327
YFR035C	197	298
YFR036W	30	128
YFR036W-A	116	883
YFR037C	28	13
YFR038W	6	91
YFR039C	118	65
YFR040W	271	101
YFR041C	30	120
YFR043C	179	65
YFR044C	13	59
YFR045W	22	69
YFR046C	93	78
YFR047C	4	82
YFR048W	48	52
YFR049W	170	120
YFR050C	57	66
YFR051C	37	73
YFR052C-A	967	10
YFR052W	35	46
YFR053C	104	76
YFR055W	285	470
YGL001C	84	127
YGL002W	100	173
YGL003C	96	149
YGL004C	10	18
YGL005C	365	214
YGL006W	410	119
YGL008C	220	520
YGL009C	64	165
YGL010W	89	178
YGL011C	25	129
YGL012W	31	107
YGL013C	124	44
YGL014W	380	86
YGL015C	382	358
YGL016W	54	179
YGL017W	7	50
YGL018C	47	138
YGL019W	83	105
YGL020C	329	81
YGL021W	0	25
YGL022W	59	81
YGL023C	16	91
YGL024W	957	433
YGL025C	21	79
YGL026C	27	83
YGL027C	13	88
YGL028C	306	308
YGL029W	72	16
YGL030W	0	101
YGL032C	111	108
YGL034C	287	0
YGL035C	94	125
YGL036W	46	99
YGL037C	99	137
YGL038C	82	106
YGL039W	548	102
YGL040C	91	225
YGL041C	233	97
YGL041C-B	584	598
YGL041W-A	49	129
YGL043W	24	225
YGL044C	216	20
YGL045W	108	201
YGL047W	76	25
YGL048C	20	97
YGL049C	158	170
YGL050W	139	156
YGL051W	725	183
YGL052W	994	474
YGL053W	736	152
YGL054C	70	305
YGL055W	148	61
YGL056C	112	101
YGL057C	29	156
YGL058W	73	223
YGL059W	32	53
YGL060W	119	92
YGL061C	73	107
YGL062W	46	61
YGL063C-A	525	444
YGL063W	246	349
YGL064C	312	71
YGL065C	39	62
YGL066W	159	265
YGL067W	76	26
YGL068W	35	105
YGL069C	343	19
YGL070C	25	138
YGL071W	224	145
YGL072C	8	284
YGL073W	45	59
YGL075C	192	308
YGL076C	0	110
YGL077C	175	78
YGL078C	56	190
YGL079W	271	99
YGL080W	82	247
YGL081W	61	294
YGL082W	79	112
YGL083W	66	132
YGL084C	45	95
YGL085W	85	167
YGL086W	0	66
YGL087C	0	117
YGL089C	222	171
YGL090W	30	77
YGL091C	56	94
YGL092W	339	48
YGL093W	43	39
YGL094C	182	150
YGL095C	39	43
YGL096W	923	108
YGL097W	53	85
YGL098W	527	154
YGL099W	18	44
YGL100W	49	91
YGL101W	58	257
YGL102C	102	314
YGL103W	4	84
YGL104C	52	128
YGL105W	54	102
YGL106W	28	170
YGL107C	48	104
YGL108C	78	149
YGL110C	4	98
YGL111W	24	146
YGL112C	24	133
YGL113W	75	229
YGL114W	239	43
YGL115W	109	76
YGL116W	134	106
YGL117W	110	84
YGL119W	30	64
YGL120C	62	117
YGL121C	115	162
YGL122C	4	148
YGL123C-A	611	26
YGL123W	116	91
YGL124C	77	61
YGL125W	193	440
YGL126W	60	152
YGL127C	350	142
YGL128C	40	181
YGL129C	59	134
YGL130W	45	99
YGL131C	48	131
YGL132W	0	132
YGL133W	187	98
YGL134W	112	58
YGL135W	111	94
YGL136C	359	130
YGL137W	0	186
YGL139W	304	229
YGL140C	177	244
YGL141W	30	98
YGL142C	57	69
YGL143C	33	58
YGL144C	37	74
YGL145W	44	115
YGL146C	164	155
YGL147C	33	112
YGL148W	62	105
YGL150C	218	170
YGL151W	36	93
YGL152C	15	281
YGL153W	48	49
YGL154C	673	6
YGL155W	130	78
YGL156W	79	152
YGL157W	69	82
YGL158W	436	121
YGL159W	27	107
YGL160W	123	118
YGL161C	97	88
YGL162W	141	143
YGL163C	292	47
YGL164C	49	88
YGL165C	795	276
YGL166W	9	152
YGL167C	361	162
YGL168W	874	861
YGL169W	83	89
YGL170C	0	173
YGL171W	16	91
YGL172W	18	87
YGL173C	323	107
YGL174W	23	171
YGL176C	675	109
YGL178W	430	646
YGL179C	68	53
YGL180W	203	265
YGL181W	40	112
YGL184C	183	19
YGL185C	23	85
YGL186C	56	15
YGL187C	12	61
YGL188C	126	0
YGL190C	525	213
YGL192W	389	77
YGL193C	375	54
YGL194C	43	31
YGL195W	0	118
YGL196W	109	113
YGL197W	196	315
YGL198W	10	50
YGL199C	307	341
YGL200C	51	105
YGL201C	49	183
YGL202W	124	84
YGL203C	53	69
YGL204C	113	486
YGL205W	124	191
YGL206C	109	293
YGL207W	91	137
YGL208W	32	130
YGL209W	348	117
YGL210W	354	123
YGL211W	700	97
YGL213C	84	110
YGL214W	106	777
YGL215W	458	568
YGL216W	116	53
YGL218W	861	0
YGL219C	25	89
YGL220W	292	187
YGL221C	12	81
YGL222C	75	25
YGL223C	20	74
YGL224C	168	84
YGL225W	180	113
YGL226C-A	0	139
YGL226W	12	26
YGL227W	37	116
YGL228W	41	23
YGL229C	225	135
YGL231C	10	64
YGL232W	46	73
YGL233W	33	66
YGL234W	51	101
YGL236C	13	57
YGL237C	73	133
YGL238W	335	101
YGL241W	10	105
YGL242C	53	129
YGL243W	12	108
YGL244W	44	99
YGL245W	27	63
YGL246C	29	124
YGL247W	527	55
YGL248W	138	67
YGL249W	60	46
YGL250W	112	203
YGL251C	249	120
YGL252C	27	98
YGL253W	45	193
YGL254W	5	168
YGL255W	957	96
YGL256W	307	107
YGL257C	120	102
YGL258W-A	920	435
YGR001C	0	74
YGR002C	7	246
YGR003W	50	227
YGR004W	62	250
YGR005C	27	94
YGR007W	371	145
YGR008C	181	148
YGR009C	28	123
YGR010W	143	208
YGR011W	724	100
YGR012W	17	53
YGR013W	42	227
YGR014W	265	128
YGR015C	8	198
YGR016W	99	169
YGR017W	174	119
YGR019W	27	93
YGR020C	70	150
YGR021W	37	80
YGR023W	170	239
YGR024C	32	2
YGR025W	0	21
YGR026W	139	175
YGR027W-A	297	766
YGR027W-B	41	325
YGR028W	143	148
YGR029W	19	105
YGR030C	14	102
YGR031C-A	747	409
YGR031W	76	312
YGR032W	248	90
YGR033C	119	277
YGR034W	0	131
YGR035C	77	113
YGR035W-A	100	53
YGR036C	428	8
YGR038C-A	425	784
YGR038C-B	156	321
YGR038W	347	152
YGR040W	242	437
YGR041W	462	110
YGR042W	740	88
YGR043C	18	55
YGR044C	116	201
YGR046W	104	352
YGR047C	30	61
YGR048W	48	82
YGR049W	143	153
YGR050C	922	443
YGR052W	124	172
YGR053C	92	60
YGR054W	159	213
YGR055W	32	126
YGR056W	393	94
YGR057C	83	340
YGR058W	46	297
YGR060W	67	17
YGR061C	109	73
YGR062C	182	79
YGR064W	165	121
YGR065C	110	97
YGR066C	435	64
YGR067C	83	118
YGR068C	90	394
YGR070W	27	126
YGR071C	46	193
YGR072W	51	67
YGR073C	639	50
YGR074W	126	301
YGR075C	20	435
YGR076C	62	100
YGR077C	37	52
YGR078C	46	78
YGR079W	32	96
YGR080W	24	87
YGR081C	48	113
YGR082W	37	140
YGR083C	28	46
YGR084C	124	77
YGR085C	92	85
YGR086C	111	283
YGR087C	19	110
YGR088W	15	79
YGR089W	271	71
YGR090W	285	93
YGR091W	61	108
YGR092W	67	161
YGR093W	61	83
YGR094W	23	92
YGR095C	14	42
YGR096W	113	72
YGR097W	104	164
YGR098C	178	169
YGR099W	29	64
YGR100W	76	97
YGR101W	70	89
YGR102C	17	161
YGR103W	26	144
YGR104C	63	76
YGR105W	47	169
YGR106C	58	99
YGR108W	208	162
YGR109C	67	115
YGR109W-A	321	785
YGR109W-B	244	223
YGR110W	367	60
YGR111W	56	116
YGR112W	66	165
YGR113W	62	317
YGR116W	41	107
YGR117C	15	260
YGR118W	0	174
YGR119C	76	83
YGR120C	36	172
YGR121C	195	93
YGR122W	152	257
YGR123C	45	93
YGR124W	53	113
YGR125W	76	124
YGR127W	212	218
YGR128C	24	110
YGR129W	27	58
YGR130C	901	184
YGR132C	68	158
YGR133W	171	202
YGR134W	146	146
YGR135W	76	86
YGR136W	15	253
YGR137W	474	141
YGR138C	177	107
YGR139W	135	403
YGR140W	0	82
YGR141W	477	88
YGR142W	47	98
YGR143W	225	391
YGR145W	17	49
YGR146C	291	97
YGR147C	72	40
YGR148C	7	86
YGR149W	196	140
YGR150C	30	107
YGR152C	150	92
YGR153W	10	98
YGR154C	379	123
YGR155W	56	143
YGR156W	122	58
YGR157W	241	65
YGR158C	65	206
YGR159C	45	145
YGR160W	812	4
YGR161C	82	121
YGR161C-C	351	735
YGR161C-D	121	319
YGR161W-B	39	314
YGR161W-C	225	265
YGR162W	39	440
YGR163W	69	71
YGR165W	45	134
YGR166W	90	77
YGR167W	68	163
YGR168C	106	71
YGR169C	15	93
YGR169C-A	92	381
YGR170W	45	42
YGR171C	14	103
YGR172C	28	126
YGR173W	43	38
YGR174C	243	125
YGR174W-A	421	98
YGR175C	87	181
YGR177C	92	214
YGR178C	200	124
YGR179C	38	92
YGR180C	142	121
YGR181W	60	183
YGR182C	353	298
YGR183C	176	356
YGR184C	585	83
YGR185C	40	77
YGR186W	17	55
YGR187C	72	146
YGR188C	42	150
YGR189C	66	100
YGR191W	213	164
YGR192C	73	109
YGR193C	78	97
YGR194C	413	105
YGR195W	119	80
YGR196C	47	113
YGR197C	178	67
YGR198W	30	114
YGR199W	271	1
YGR200C	46	77
YGR201C	270	51
YGR202C	33	130
YGR203W	323	191
YGR204C-A	962	75
YGR204W	47	88
YGR205W	130	27
YGR206W	24	88
YGR207C	45	112
YGR208W	58	56
YGR209C	70	77
YGR210C	98	94
YGR211W	91	195
YGR212W	52	57
YGR213C	163	541
YGR214W	0	76
YGR215W	58	99
YGR216C	37	86
YGR217W	27	64
YGR218W	289	211
YGR220C	15	78
YGR221C	292	64
YGR222W	441	70
YGR223C	171	75
YGR224W	559	190
YGR225W	96	107
YGR227C-A	0	719
YGR227W	115	61
YGR229C	329	107
YGR230W	148	119
YGR231C	70	134
YGR232W	13	57
YGR233C	212	64
YGR234W	15	259
YGR235C	60	106
YGR237C	57	169
YGR238C	503	100
YGR239C	578	90
YGR240C	223	239
YGR240C-A	878	171
YGR241C	156	74
YGR243W	86	132
YGR244C	101	79
YGR245C	78	112
YGR246C	19	164
YGR247W	143	37
YGR248W	26	96
YGR249W	278	497
YGR250C	182	109
YGR251W	48	527
YGR252W	37	206
YGR253C	66	67
YGR254W	51	152
YGR255C	87	58
YGR256W	40	114
YGR257C	103	55
YGR258C	884	49
YGR260W	185	123
YGR261C	30	93
YGR262C	34	95
YGR263C	21	75
YGR264C	24	126
YGR266W	45	115
YGR267C	922	89
YGR268C	369	179
YGR269W	840	61
YGR270W	457	90
YGR271C-A	40	95
YGR271W	24	132
YGR274C	46	89
YGR275W	15	17
YGR276C	10	14
YGR277C	26	58
YGR278W	8	104
YGR279C	105	143
YGR280C	20	222
YGR281W	219	188
YGR282C	48	197
YGR283C	31	104
YGR284C	66	186
YGR285C	18	65
YGR286C	103	135
YGR287C	296	110
YGR288W	56	378
YGR289C	310	158
YGR292W	116	121
YGR295C	11	70
YGR296C-B	143	742
YGR296W	835	720
YHL001W	0	120
YHL002C-A	990	8
YHL002W	19	56
YHL003C	159	127
YHL004W	74	105
YHL006W-A	461	180
YHL007C	92	154
YHL008C	156	174
YHL009C	122	249
YHL009W-B	84	403
YHL010C	50	75
YHL011C	112	138
YHL012W	178	703
YHL013C	26	109
YHL014C	95	85
YHL015W	43	295
YHL016C	573	80
YHL017W	572	38
YHL019C	24	92
YHL019W-A	86	916
YHL020C	73	111
YHL021C	49	84
YHL023C	23	27
YHL024W	139	300
YHL025W	195	104
YHL026C	182	108
YHL027W	84	212
YHL028W	49	78
YHL029C	22	103
YHL030W	29	115
YHL030W-A	328	3
YHL031C	36	61
YHL032C	66	55
YHL033C	24	66
YHL034C	119	155
YHL034W-A	158	546
YHL035C	51	116
YHL036W	90	68
YHL038C	52	118
YHL039W	57	61
YHL040C	175	252
YHL043W	403	408
YHL044W	21	173
YHL047C	666	153
YHL048W	11	95
YHL050C	0	624
YHL050W-A	53	616
YHR001W	44	74
YHR001W-A	79	207
YHR002W	163	132
YHR003C	55	88
YHR004C	112	197
YHR005C	85	94
YHR006W	30	105
YHR007C	131	14
YHR007C-A	918	645
YHR008C	93	157
YHR009C	157	133
YHR010W	0	124
YHR011W	87	62
YHR012W	0	257
YHR013C	48	101
YHR015W	34	100
YHR016C	0	139
YHR017W	13	93
YHR018C	46	157
YHR019C	55	105
YHR020W	131	87
YHR021C	0	85
YHR023W	12	107
YHR024C	16	227
YHR025W	34	81
YHR026W	126	150
YHR027C	41	132
YHR028C	43	103
YHR028W-A	0	421
YHR029C	128	30
YHR030C	160	94
YHR031C	29	116
YHR032W	93	404
YHR033W	321	143
YHR034C	29	19
YHR035W	35	202
YHR036W	122	225
YHR037W	35	163
YHR038W	26	92
YHR039C	111	98
YHR039C-A	0	79
YHR040W	18	86
YHR041C	262	14
YHR042W	39	126
YHR043C	11	78
YHR044C	243	79
YHR045W	126	62
YHR046C	85	129
YHR047C	17	149
YHR048W	189	765
YHR049C-A	0	647
YHR049W	60	134
YHR050W	187	59
YHR050W-A	73	624
YHR051W	149	118
YHR052W	34	136
YHR053C	116	175
YHR054C	19	139
YHR056C	40	139
YHR057C	372	71
YHR058C	32	59
YHR059W	60	100
YHR060W	5	69
YHR061C	402	237
YHR062C	99	82
YHR063C	60	85
YHR064C	34	103
YHR065C	31	114
YHR066W	41	117
YHR067W	96	334
YHR068W	79	147
YHR069C	104	146
YHR070C-A	275	154
YHR070W	6	353
YHR071W	30	51
YHR072W	71	104
YHR072W-A	64	160
YHR073W	86	150
YHR074W	22	113
YHR075C	159	70
YHR076W	290	133
YHR077C	0	116
YHR078W	84	73
YHR079C	213	219
YHR080C	190	59
YHR081W	287	125
YHR082C	375	254
YHR083W	8	88
YHR084W	291	308
YHR085W	21	39
YHR086W	189	121
YHR087W	71	185
YHR088W	32	95
YHR089C	66	17
YHR090C	24	250
YHR091C	267	95
YHR092C	73	60
YHR094C	30	98
YHR096C	201	142
YHR097C	58	94
YHR098C	69	143
YHR099W	89	126
YHR100C	51	34
YHR101C	21	182
YHR102W	118	79
YHR103W	103	172
YHR104W	90	137
YHR106W	941	94
YHR107C	50	168
YHR108W	26	116
YHR109W	4	79
YHR110W	344	113
YHR111W	17	50
YHR112C	458	158
YHR113W	356	88
YHR114W	57	74
YHR115C	170	118
YHR116W	756	239
YHR117W	74	93
YHR118C	37	74
YHR119W	224	142
YHR120W	22	63
YHR121W	68	85
YHR122W	47	144
YHR123W	60	137
YHR124W	396	39
YHR127W	125	177
YHR128W	53	221
YHR129C	101	98
YHR130C	898	123
YHR131C	57	276
YHR132C	59	80
YHR132W-A	43	146
YHR133C	416	150
YHR134W	78	121
YHR135C	109	106
YHR136C	77	95
YHR137C-A	979	49
YHR137W	20	99
YHR138C	62	108
YHR141C	0	106
YHR142W	209	84
YHR143W	267	234
YHR143W-A	47	253
YHR144C	21	57
YHR146W	24	195
YHR147C	250	120
YHR148W	423	347
YHR149C	121	104
YHR150W	48	150
YHR151C	155	141
YHR152W	82	112
YHR154W	38	86
YHR155W	86	152
YHR156C	480	29
YHR158C	486	148
YHR159W	56	101
YHR160C	279	249
YHR161C	123	96
YHR162W	177	118
YHR163W	17	119
YHR164C	101	143
YHR165C	98	99
YHR166C	79	54
YHR167W	62	96
YHR168W	70	202
YHR169W	53	87
YHR170W	38	125
YHR171W	2	83
YHR172W	96	332
YHR173C	112	133
YHR174W	54	126
YHR175W	505	254
YHR175W-A	643	0
YHR176W	113	50
YHR177W	259	629
YHR178W	42	144
YHR179W	53	105
YHR180W	219	131
YHR181W	40	83
YHR182C-A	374	40
YHR182W	13	49
YHR183W	72	121
YHR184W	127	145
YHR186C	150	114
YHR187W	23	107
YHR188C	36	74
YHR190W	150	100
YHR191C	15	542
YHR192W	34	82
YHR193C	35	62
YHR194W	38	87
YHR195W	355	171
YHR196W	44	53
YHR197W	12	110
YHR198C	2	130
YHR199C	297	72
YHR199C-A	57	414
YHR200W	27	53
YHR201C	24	67
YHR202W	21	65
YHR203C	0	24
YHR204W	34	85
YHR205W	381	125
YHR206W	277	192
YHR207C	30	45
YHR208W	31	162
YHR209W	525	94
YHR210C	222	138
YHR211W	994	81
YHR212C	778	568
YHR213W-A	238	58
YHR214C-B	41	319
YHR214C-C	151	735
YHR214W-A	449	134
YHR215W	300	50
YHR216W	92	186
YHR219C-A	473	564
YHR219W	378	472
YIL001W	65	82
YIL002C	153	30
YIL002W-A	15	97
YIL003W	234	92
YIL004C	67	109
YIL005W	137	66
YIL006W	209	228
YIL007C	185	162
YIL008W	71	142
YIL009C-A	24	108
YIL009W	10	236
YIL010W	30	180
YIL011W	46	109
YIL013C	0	193
YIL014C-A	77	174
YIL014W	148	92
YIL015W	32	80
YIL016W	136	59
YIL017C	65	95
YIL018W	0	90
YIL019W	24	111
YIL020C	74	111
YIL020C-A	772	874
YIL021C-A	541	283
YIL021W	80	141
YIL022W	97	217
YIL023C	82	64
YIL024C	228	106
YIL025C	11	0
YIL026C	34	147
YIL027C	47	94
YIL028W	508	276
YIL029C	107	368
YIL030C	49	88
YIL030W-A	918	28
YIL031W	158	112
YIL033C	104	180
YIL034C	27	77
YIL035C	127	21
YIL036W	148	96
YIL037C	2	8
YIL038C	231	163
YIL039W	44	102
YIL040W	16	87
YIL041W	18	86
YIL042C	38	117
YIL043C	20	24
YIL044C	64	116
YIL045W	102	141
YIL046W	33	105
YIL047C	27	162
YIL047C-A	981	146
YIL048W	390	133
YIL049W	16	61
YIL050W	172	123
YIL051C	70	118
YIL052C	0	57
YIL053W	108	151
YIL055C	82	80
YIL056W	141	60
YIL057C	76	88
YIL059C	498	173
YIL060W	50	8
YIL061C	15	40
YIL062C	411	80
YIL063C	42	44
YIL064W	697	36
YIL065C	36	71
YIL066C	221	136
YIL067C	46	61
YIL068C	56	35
YIL068W-A	88	805
YIL069C	0	192
YIL070C	51	101
YIL071C	7	162
YIL071W-A	140	970
YIL072W	110	151
YIL073C	637	56
YIL074C	108	54
YIL075C	51	101
YIL076W	18	71
YIL077C	555	136
YIL078W	38	76
YIL079C	19	39
YIL082W	335	756
YIL082W-A	276	428
YIL083C	135	99
YIL085C	252	61
YIL087C	63	79
YIL088C	61	79
YIL089W	303	9
YIL090W	170	319
YIL091C	15	60
YIL092W	61	101
YIL093C	72	104
YIL094C	84	89
YIL095W	144	72
YIL096C	98	102
YIL097W	13	114
YIL098C	30	85
YIL099W	280	107
YIL101C	118	96
YIL103W	40	79
YIL104C	26	78
YIL105C	129	32
YIL106W	84	86
YIL107C	166	9
YIL108W	16	13
YIL109C	74	113
YIL110W	51	164
YIL111W	552	34
YIL112W	101	130
YIL113W	24	5
YIL114C	386	62
YIL115C	76	64
YIL115W-A	41	923
YIL116W	68	32
YIL117C	149	100
YIL118W	144	161
YIL119C	190	268
YIL120W	433	129
YIL121W	151	146
YIL122W	270	153
YIL123W	47	326
YIL124W	46	109
YIL125W	137	258
YIL126W	69	141
YIL127C	58	88
YIL128W	80	123
YIL129C	102	140
YIL130W	124	140
YIL131C	93	133
YIL132C	35	397
YIL133C	0	101
YIL134W	272	27
YIL135C	63	144
YIL136W	46	52
YIL137C	51	86
YIL138C	18	352
YIL139C	732	116
YIL140W	122	127
YIL142W	26	54
YIL143C	32	229
YIL144W	70	192
YIL145C	58	101
YIL146C	247	203
YIL147C	215	88
YIL148W	0	66
YIL149C	0	100
YIL151C	147	49
YIL152W	22	25
YIL153W	22	43
YIL154C	49	72
YIL155C	29	346
YIL156W	17	138
YIL156W-A	203	0
YIL156W-B	96	89
YIL157C	13	160
YIL158W	20	99
YIL159W	154	74
YIL160C	101	46
YIL161W	16	41
YIL162W	28	222
YIL163C	106	1
YIL164C	539	513
YIL165C	910	144
YIL166C	394	116
YIL167W	145	326
YIL169C	0	293
YIL172C	227	101
YIL173W	269	302
YIL177C	860	596
YIL177W-A	602	715
YIR001C	69	324
YIR002C	78	119
YIR003W	18	73
YIR004W	31	40
YIR005W	93	79
YIR006C	53	87
YIR007W	15	85
YIR008C	42	71
YIR009W	68	453
YIR010W	57	111
YIR011C	14	107
YIR012W	17	64
YIR016W	542	81
YIR017C	96	144
YIR017W-A	220	52
YIR018C-A	793	943
YIR018W	293	294
YIR019C	270	199
YIR020C	735	378
YIR020C-B	496	0
YIR021W	41	57
YIR022W	36	104
YIR023C-A	98	947
YIR023W	6	55
YIR024C	32	74
YIR025W	23	128
YIR026C	89	94
YIR027C	781	115
YIR029W	151	53
