gene_a	gene_b	strand_a	strand_b	same_strand	geometry	overlap_nt	overlap_into_orf_nt
YHR113W	YHR114W	+	+	True	tandem	6	0
YHR170W	YHR171W	+	+	True	tandem	6	0
YKL215C	YKL216W	-	+	False	convergent	6	0
YLR309C	YLR310C	-	-	True	tandem	6	0
YDL035C	YDL036C	-	-	True	tandem	5	0
YDR217C	YDR218C	-	-	True	tandem	5	0
YIL100W	YIL101C	+	-	False	divergent	5	5
YGL063W	YGL064C	+	-	False	divergent	5	0
YPL263C	YPL264C	-	-	True	tandem	5	0
YDL083C	YDL085C-A	-	-	True	tandem	4	0
YDR168W	YDR169C	+	-	False	convergent	4	0
YDR423C	YDR424C	-	-	True	tandem	4	0
YLR307C-A	YLR307W	-	+	False	convergent	4	0
YMR124W	YMR125W	+	+	True	tandem	4	0
YCR014C	YCR015C	-	-	True	tandem	3	0
YER033C	YER035W	-	+	False	divergent	3	0
YGR190C	YGR192C	-	-	True	tandem	3	0
YKL037W	YKL038W	+	+	True	tandem	3	0
YLR030W	YLR032W	+	+	True	tandem	3	0
YMR065W	YMR066W	+	+	True	tandem	3	0
YMR176W	YMR177W	+	+	True	tandem	3	0
YOR294W	YOR295W	+	+	True	tandem	3	0
YAL037W	YAL038W	+	+	True	tandem	2	0
YDR319C	YDR320C	-	-	True	tandem	2	0
YER119C	YER119C-A	-	-	True	tandem	2	2
YGL056C	YGL057C	-	-	True	tandem	2	0
YLR097C	YLR098C	-	-	True	tandem	2	0
YOR025W	YOR026W	+	+	True	tandem	2	0
YAL023C	YAL024C	-	-	True	tandem	1	0
YBL033C	YBL034C	-	-	True	tandem	1	0
YBL022C	YBL023C	-	-	True	tandem	1	0
YDL247W-A	YDL248W	+	+	True	tandem	1	0
YDL214C	YDL215C	-	-	True	tandem	1	0
YDL206W	YDL207W	+	+	True	tandem	1	0
YDL090C	YDL091C	-	-	True	tandem	1	0
YDR060W	YDR061W	+	+	True	tandem	1	0
YDR239C	YDR240C	-	-	True	tandem	1	0
YDR395W	YDR396W	+	+	True	tandem	1	0
YDR463W	YDR464W	+	+	True	tandem	1	0
YDR475C	YDR476C	-	-	True	tandem	1	0
YDR517W	YDR518W	+	+	True	tandem	1	0
YER017C	YER018C	-	-	True	tandem	1	0
YER151C	YER152C	-	-	True	tandem	1	0
YFL007W	YFL008W	+	+	True	tandem	1	0
YFR043C	YFR044C	-	-	True	tandem	1	0
YGR031W	YGR032W	+	+	True	tandem	1	0
YGR034W	YGR035W-A	+	+	True	tandem	1	0
YGR099W	YGR100W	+	+	True	tandem	1	0
YHR119W	YHR120W	+	+	True	tandem	1	0
YJL206C	YJL207C	-	-	True	tandem	1	0
YJL156C	YJL157C	-	-	True	tandem	1	0
YJL117W	YJL120W	+	+	True	tandem	1	0
YJL097W	YJL098W	+	+	True	tandem	1	0
YJL065C	YJL066C	-	-	True	tandem	1	0
YJR087W	YJR089W	+	+	True	tandem	1	0
YJR095W	YJR096W	+	+	True	tandem	1	0
YKL187C	YKL188C	-	-	True	tandem	1	0
YKL172W	YKL173W	+	+	True	tandem	1	0
YKL091C	YKL092C	-	-	True	tandem	1	0
YKL049C	YKL050C	-	-	True	tandem	1	0
YLR058C	YLR059C	-	-	True	tandem	1	0
YLR090W	YLR091W	+	+	True	tandem	1	0
YLR117C	YLR118C	-	-	True	tandem	1	0
YLR154W-C	YLR154W-F	+	+	True	tandem	1	0
YLR154W-E	YLR154W-F	+	+	True	tandem	1	0
YLR165C	YLR166C	-	-	True	tandem	1	0
YMR018W	YMR019W	+	+	True	tandem	1	0
YMR019W	YMR020W	+	+	True	tandem	1	0
YMR030W	YMR031C	+	-	False	convergent	1	0
YMR104C	YMR105C	-	-	True	tandem	1	0
YMR282C	YMR283C	-	-	True	tandem	1	0
YNL266W	YNL267W	+	+	True	tandem	1	0
YOR155C	YOR156C	-	-	True	tandem	1	0
YOR361C	YOR362C	-	-	True	tandem	1	0
