Gene	span_growth_nt	n_new_gene_overlaps	max_gene_overlap_nt	max_same_strand_orf_overlap_nt
YDL172C	451	1	463	335
YDL173W	143	1	116	0
YDL174C	192	0	0	0
YDL175C	6	0	0	0
YDL176W	0	0	0	0
YDL177C	0	0	0	0
YDL178W	0	0	0	0
YDL179W	10	0	0	0
YDL180W	0	0	0	0
YDL181W	0	0	0	0
YDL182W	7	0	0	0
YDL183C	0	0	0	0
YDL184C	0	0	0	0
YDL185C-A	0	0	0	0
YDL185W	0	0	0	0
YDL186W	0	0	0	0
YDL187C	0	0	0	0
YDL188C	0	0	0	0
YDL189W	0	0	0	0
YDL190C	392	1	135	0
YDL191W	14	1	135	0
YDL192W	31	0	0	0
YDL193W	0	0	0	0
YDL194W	273	0	0	0
YDL195W	1	0	0	0
YDL196W	0	0	0	0
YDL197C	0	1	78	0
YDL198C	107	1	78	0
YDL199C	33	0	0	0
YDL200C	0	0	0	0
YDL201W	10	0	0	0
YDL202W	0	0	0	0
YDL203C	0	0	0	0
YDL204W	0	0	0	0
YDL205C	97	0	0	0
YDL206W	90	1	1	0
YDL207W	2	1	1	0
YDL208W	5	0	0	0
YDL209C	0	0	0	0
YDL210W	960	0	0	0
YDL211C	7	0	0	0
YDL212W	0	0	0	0
YDL213C	18	0	0	0
YDL214C	199	1	1	0
YDL215C	193	1	1	0
YDL216C	6	0	0	0
YDL217C	0	1	129	0
YDL218W	592	1	129	0
YDL219W	0	1	111	0
YDL220C	527	2	827	445
YDL221W	0	1	552	0
YDL222C	1247	2	827	445
YDL223C	370	0	0	0
YDL224C	509	1	82	0
YDL225W	0	1	82	0
YDL226C	0	0	0	0
YDL227C	323	0	0	0
YDL228C	0	0	0	0
YDL229W	10	0	0	0
YDL230W	11	0	0	0
YDL231C	168	1	56	0
YDL232W	0	1	56	0
YDL233W	10	0	0	0
YDL234C	0	0	0	0
YDL235C	0	0	0	0
YDL236W	0	0	0	0
YDL237W	0	0	0	0
YDL238C	5	0	0	0
YDL239C	187	0	0	0
YDL240C-A	0	0	0	0
YDL240W	429	0	0	0
YDL241W	818	0	0	0
YDL242W	0	0	0	0
YDL243C	0	0	0	0
YDL244W	133	0	0	0
YDL245C	419	0	0	0
YDL246C	494	0	0	0
YDL247W	541	0	0	0
YDL247W-A	861	1	1	0
YDL248W	613	1	1	0
YDR001C	340	0	0	0
YDR002W	0	0	0	0
YDR003W	0	0	0	0
YDR003W-A	0	0	0	0
YDR004W	302	0	0	0
YDR005C	10	0	0	0
YDR006C	5	0	0	0
YDR007W	0	0	0	0
YDR008C	697	0	0	0
YDR009W	7	0	0	0
YDR010C	0	0	0	0
YDR011W	547	0	0	0
YDR012W	50	0	0	0
YDR013W	0	1	35	0
YDR014W	529	1	35	0
YDR014W-A	173	0	0	0
YDR015C	0	0	0	0
YDR016C	3	0	0	0
YDR017C	208	0	0	0
YDR018C	260	0	0	0
YDR019C	956	0	0	0
YDR020C	0	0	0	0
YDR021W	7	0	0	0
YDR022C	16	0	0	0
YDR023W	0	0	0	0
YDR024W	1009	1	87	46
YDR025W	32	1	87	46
YDR026C	3	0	0	0
YDR027C	105	0	0	0
YDR028C	58	0	0	0
YDR029W	0	0	0	0
YDR030C	0	0	0	0
YDR031W	0	0	0	0
YDR032C	0	0	0	0
YDR033W	119	0	0	0
YDR034C	0	0	0	0
YDR034C-A	0	0	0	0
YDR034C-C	0	0	0	0
YDR034C-D	0	0	0	0
YDR034W-B	0	0	0	0
YDR035W	0	0	0	0
YDR036C	0	0	0	0
YDR037W	35	0	0	0
YDR038C	281	0	0	0
YDR039C	267	0	0	0
YDR040C	361	0	0	0
YDR041W	0	0	0	0
YDR042C	104	0	0	0
YDR043C	0	0	0	0
YDR044W	8	0	0	0
YDR045C	0	0	0	0
YDR046C	589	0	0	0
YDR047W	0	0	0	0
YDR048C	0	0	0	0
YDR049W	0	0	0	0
YDR050C	1	0	0	0
YDR051C	0	0	0	0
YDR052C	4	0	0	0
YDR053W	0	0	0	0
YDR054C	1	0	0	0
YDR055W	0	0	0	0
YDR056C	0	0	0	0
YDR057W	0	0	0	0
YDR058C	0	0	0	0
YDR059C	0	0	0	0
YDR060W	172	1	1	0
YDR061W	292	1	1	0
YDR062W	3	0	0	0
YDR063W	0	0	0	0
YDR064W	66	0	0	0
YDR065W	0	0	0	0
YDR066C	0	0	0	0
YDR067C	0	0	0	0
YDR068W	0	1	213	0
YDR069C	367	1	213	0
YDR070C	0	0	0	0
YDR071C	0	0	0	0
YDR072C	2	0	0	0
YDR073W	0	0	0	0
YDR074W	51	0	0	0
YDR075W	1	0	0	0
YDR076W	43	0	0	0
YDR077W	23	0	0	0
YDR078C	10	0	0	0
YDR079C-A	0	1	294	0
YDR079W	0	1	22	0
YDR080W	521	2	294	0
YDR081C	8	0	0	0
YDR082W	9	0	0	0
YDR083W	741	0	0	0
YDR084C	38	0	0	0
YDR085C	200	1	39	0
YDR086C	0	1	39	0
YDR087C	488	0	0	0
YDR088C	4	0	0	0
YDR089W	592	0	0	0
YDR090C	0	0	0	0
YDR091C	1	0	0	0
YDR092W	6	0	0	0
YDR093W	350	0	0	0
YDR094W	2	0	0	0
YDR095C	0	0	0	0
YDR096W	565	0	0	0
YDR097C	8	0	0	0
YDR098C	0	0	0	0
YDR098C-A	0	0	0	0
YDR098C-B	0	0	0	0
YDR099W	114	0	0	0
YDR100W	0	0	0	0
YDR101C	0	0	0	0
YDR102C	0	0	0	0
YDR103W	89	1	114	0
YDR104C	357	1	114	0
YDR105C	6	0	0	0
YDR106W	4	0	0	0
YDR107C	300	1	140	0
YDR108W	0	1	140	0
YDR109C	0	0	0	0
YDR110W	6	0	0	0
YDR111C	11	0	0	0
YDR112W	0	0	0	0
YDR113C	5	0	0	0
YDR114C	0	0	0	0
YDR115W	0	0	0	0
YDR116C	7	0	0	0
YDR117C	9	0	0	0
YDR118W	135	0	0	0
YDR118W-A	0	0	0	0
YDR119W	0	0	0	0
YDR119W-A	0	0	0	0
YDR120C	2	0	0	0
YDR121W	0	0	0	0
YDR122W	474	0	0	0
YDR123C	80	0	0	0
YDR124W	123	0	0	0
YDR125C	1012	0	0	0
YDR126W	179	0	0	0
YDR127W	772	0	0	0
YDR128W	164	0	0	0
YDR129C	6	0	0	0
YDR130C	0	0	0	0
YDR131C	27	0	0	0
YDR132C	0	0	0	0
YDR133C	0	0	0	0
YDR134C	0	0	0	0
YDR135C	35	0	0	0
YDR136C	0	0	0	0
YDR137W	234	0	0	0
YDR138W	161	0	0	0
YDR139C	82	0	0	0
YDR140W	504	0	0	0
YDR141C	454	0	0	0
YDR142C	0	0	0	0
YDR143C	0	0	0	0
YDR144C	10	0	0	0
YDR145W	0	1	113	0
YDR146C	329	1	113	0
YDR147W	0	0	0	0
YDR148C	0	0	0	0
YDR149C	0	0	0	0
YDR150W	73	0	0	0
YDR151C	0	0	0	0
YDR152W	4	0	0	0
YDR153C	0	0	0	0
YDR154C	82	0	0	0
YDR155C	3	0	0	0
YDR156W	3	0	0	0
YDR157W	1423	0	0	0
YDR158W	0	0	0	0
YDR159W	254	0	0	0
YDR160W	242	0	0	0
YDR161W	0	0	0	0
YDR162C	0	0	0	0
YDR163W	8	0	0	0
YDR164C	0	0	0	0
YDR165W	29	0	0	0
YDR166C	157	0	0	0
YDR167W	0	0	0	0
YDR168W	0	1	4	0
YDR169C	14	1	4	0
YDR169C-A	0	0	0	0
YDR170C	861	0	0	0
YDR170W-A	0	0	0	0
YDR171W	0	0	0	0
YDR172W	0	0	0	0
YDR173C	0	0	0	0
YDR174W	0	0	0	0
YDR175C	26	0	0	0
YDR176W	3	0	0	0
YDR177W	6	0	0	0
YDR178W	9	0	0	0
YDR179C	0	0	0	0
YDR179W-A	20	1	38	0
YDR180W	203	1	38	0
YDR181C	16	0	0	0
YDR182W	14	0	0	0
YDR182W-A	25	0	0	0
YDR183C-A	328	0	0	0
YDR183W	28	0	0	0
YDR184C	0	0	0	0
YDR185C	0	0	0	0
YDR186C	156	0	0	0
YDR187C	0	0	0	0
YDR188W	7	0	0	0
YDR189W	7	0	0	0
YDR190C	4	0	0	0
YDR191W	0	0	0	0
YDR192C	0	0	0	0
YDR193W	0	0	0	0
YDR194C	0	0	0	0
YDR194W-A	0	0	0	0
YDR195W	0	0	0	0
YDR196C	21	0	0	0
YDR197W	0	0	0	0
YDR198C	0	0	0	0
YDR199W	0	0	0	0
YDR200C	27	0	0	0
YDR201W	8	0	0	0
YDR202C	0	0	0	0
YDR203W	0	0	0	0
YDR204W	10	0	0	0
YDR205W	62	0	0	0
YDR206W	545	1	103	0
YDR207C	246	1	103	0
YDR208W	0	0	0	0
YDR209C	0	0	0	0
YDR210C-C	0	0	0	0
YDR210C-D	0	0	0	0
YDR210W	0	0	0	0
YDR210W-A	0	0	0	0
YDR210W-B	0	0	0	0
YDR211W	0	0	0	0
YDR212W	7	0	0	0
YDR213W	253	1	41	0
YDR214W	0	1	41	0
YDR215C	0	0	0	0
YDR216W	812	0	0	0
YDR217C	271	1	5	0
YDR218C	256	1	5	0
YDR219C	11	0	0	0
YDR220C	0	0	0	0
YDR221W	0	0	0	0
YDR222W	2	0	0	0
YDR223W	227	0	0	0
YDR224C	0	0	0	0
YDR225W	0	0	0	0
YDR226W	0	0	0	0
YDR227W	0	0	0	0
YDR228C	8	0	0	0
YDR229W	0	0	0	0
YDR230W	0	0	0	0
YDR231C	3	0	0	0
YDR232W	0	0	0	0
YDR233C	3	1	27	0
YDR234W	366	1	27	0
YDR235W	2	0	0	0
YDR236C	0	0	0	0
YDR237W	0	0	0	0
YDR238C	20	0	0	0
YDR239C	276	1	1	0
YDR240C	1	1	1	0
YDR241W	603	0	0	0
YDR242W	3	0	0	0
YDR243C	0	0	0	0
YDR244W	0	0	0	0
YDR245W	12	0	0	0
YDR246W	0	0	0	0
YDR246W-A	346	1	406	75
YDR247W	386	1	406	75
YDR248C	93	0	0	0
YDR249C	17	0	0	0
YDR250C	0	0	0	0
YDR251W	44	0	0	0
YDR252W	83	0	0	0
YDR253C	0	0	0	0
YDR254W	0	0	0	0
YDR255C	0	0	0	0
YDR256C	822	0	0	0
YDR257C	0	0	0	0
YDR258C	9	0	0	0
YDR259C	4	0	0	0
YDR260C	1	0	0	0
YDR261C	0	0	0	0
YDR261C-C	0	0	0	0
YDR261C-D	0	0	0	0
YDR261W-A	0	0	0	0
YDR261W-B	0	0	0	0
YDR262W	278	0	0	0
YDR263C	215	0	0	0
YDR264C	15	0	0	0
YDR265W	0	0	0	0
YDR266C	0	0	0	0
YDR267C	10	1	34	0
YDR268W	74	2	433	323
YDR269C	0	0	0	0
YDR270W	935	1	433	323
YDR271C	0	0	0	0
YDR272W	0	0	0	0
YDR273W	0	0	0	0
YDR274C	0	0	0	0
YDR275W	0	0	0	0
YDR276C	0	0	0	0
YDR277C	0	0	0	0
YDR278C	0	0	0	0
YDR279W	8	0	0	0
YDR280W	4	0	0	0
YDR281C	0	0	0	0
YDR282C	121	0	0	0
YDR283C	430	0	0	0
YDR284C	0	0	0	0
YDR285W	310	2	117	0
YDR286C	501	1	117	0
YDR287W	0	2	10	0
YDR288W	179	1	7	0
YDR289C	0	0	0	0
YDR290W	0	0	0	0
YDR291W	166	0	0	0
YDR292C	0	0	0	0
YDR293C	734	0	0	0
YDR294C	2	0	0	0
YDR295C	6	0	0	0
YDR296W	20	0	0	0
YDR297W	11	0	0	0
YDR298C	3	0	0	0
YDR299W	0	0	0	0
YDR300C	0	0	0	0
YDR301W	200	0	0	0
YDR302W	0	0	0	0
YDR303C	14	0	0	0
YDR304C	6	0	0	0
YDR305C	142	0	0	0
YDR306C	0	0	0	0
YDR307W	0	0	0	0
YDR308C	0	0	0	0
YDR309C	2	0	0	0
YDR310C	474	0	0	0
YDR311W	0	0	0	0
YDR312W	0	0	0	0
YDR313C	320	0	0	0
YDR314C	191	1	103	0
YDR315C	10	1	103	0
YDR316W	5	0	0	0
YDR316W-A	0	0	0	0
YDR316W-B	0	0	0	0
YDR317W	214	0	0	0
YDR318W	38	0	0	0
YDR319C	125	1	2	0
YDR320C	357	2	231	0
YDR320C-A	18	0	0	0
YDR320W-B	0	1	231	0
YDR321W	9	0	0	0
YDR322C-A	0	0	0	0
YDR322W	4	0	0	0
YDR323C	0	0	0	0
YDR324C	526	0	0	0
YDR325W	89	0	0	0
YDR326C	385	1	20	0
YDR327W	0	0	0	0
YDR328C	0	1	20	0
YDR329C	0	0	0	0
YDR330W	0	0	0	0
YDR331W	354	0	0	0
YDR332W	0	0	0	0
YDR333C	0	0	0	0
YDR334W	312	0	0	0
YDR335W	4	0	0	0
YDR336W	0	0	0	0
YDR337W	0	0	0	0
YDR338C	18	0	0	0
YDR339C	10	0	0	0
YDR340W	0	0	0	0
YDR341C	17	0	0	0
YDR342C	11	0	0	0
YDR343C	235	0	0	0
YDR344C	0	0	0	0
YDR345C	9	0	0	0
YDR346C	0	0	0	0
YDR347W	0	0	0	0
YDR348C	0	0	0	0
YDR349C	0	0	0	0
YDR350C	20	0	0	0
YDR351W	360	0	0	0
YDR352W	77	0	0	0
YDR353W	4	0	0	0
YDR354C-A	0	0	0	0
YDR354W	0	0	0	0
YDR355C	0	0	0	0
YDR356W	325	1	153	0
YDR357C	0	1	153	0
YDR358W	0	1	118	0
YDR359C	853	2	561	200
YDR360W	0	0	0	0
YDR361C	0	1	561	200
YDR362C	0	0	0	0
YDR363W	0	0	0	0
YDR363W-A	0	0	0	0
YDR364C	0	0	0	0
YDR365C	0	0	0	0
YDR365W-A	0	0	0	0
YDR365W-B	0	0	0	0
YDR366C	0	0	0	0
YDR367W	0	0	0	0
YDR368W	15	1	107	0
YDR369C	189	1	107	0
YDR370C	0	0	0	0
YDR371C-A	0	0	0	0
YDR371W	0	0	0	0
YDR372C	0	0	0	0
YDR373W	0	0	0	0
YDR374C	0	0	0	0
YDR374W-A	0	0	0	0
YDR375C	3	0	0	0
YDR376W	0	0	0	0
YDR377W	4	0	0	0
YDR378C	0	0	0	0
YDR379C-A	0	0	0	0
YDR379W	12	0	0	0
YDR380W	3	0	0	0
YDR381C-A	38	0	0	0
YDR381W	10	0	0	0
YDR382W	4	0	0	0
YDR383C	0	0	0	0
YDR384C	5	0	0	0
YDR385W	406	0	0	0
YDR386W	0	0	0	0
YDR387C	0	0	0	0
YDR388W	0	0	0	0
YDR389W	0	0	0	0
YDR390C	0	0	0	0
YDR391C	0	0	0	0
YDR392W	95	0	0	0
YDR393W	0	0	0	0
YDR394W	13	0	0	0
YDR395W	1	1	1	0
YDR396W	39	1	1	0
YDR397C	0	0	0	0
YDR398W	0	0	0	0
YDR399W	0	0	0	0
YDR400W	6	0	0	0
YDR401W	649	0	0	0
YDR402C	0	0	0	0
YDR403W	154	0	0	0
YDR404C	29	0	0	0
YDR405W	14	1	110	0
YDR406W	240	1	110	0
YDR406W-A	994	0	0	0
YDR407C	4	0	0	0
YDR408C	4	0	0	0
YDR409W	296	1	113	0
YDR410C	0	1	113	0
YDR411C	0	0	0	0
YDR412W	0	0	0	0
YDR413C	23	0	0	0
YDR414C	290	0	0	0
YDR415C	0	0	0	0
YDR416W	10	0	0	0
YDR417C	0	0	0	0
YDR418W	0	0	0	0
YDR419W	34	0	0	0
YDR420W	969	0	0	0
YDR421W	130	1	7	0
YDR422C	25	1	7	0
YDR423C	16	1	4	0
YDR424C	10	1	4	0
YDR425W	179	0	0	0
YDR426C	0	0	0	0
YDR427W	0	0	0	0
YDR428C	0	0	0	0
YDR429C	8	0	0	0
YDR430C	25	0	0	0
YDR431W	0	0	0	0
YDR432W	260	0	0	0
YDR433W	180	0	0	0
YDR434W	26	0	0	0
YDR435C	14	0	0	0
YDR436W	2	0	0	0
YDR437W	0	0	0	0
YDR438W	474	0	0	0
YDR439W	27	0	0	0
YDR440W	0	0	0	0
YDR441C	623	2	481	145
YDR442W	0	1	187	0
YDR443C	373	1	481	145
YDR444W	0	0	0	0
YDR445C	0	0	0	0
YDR446W	0	0	0	0
YDR447C	0	0	0	0
YDR448W	40	0	0	0
YDR449C	6	0	0	0
YDR450W	28	0	0	0
YDR451C	0	0	0	0
YDR452W	0	0	0	0
YDR453C	0	0	0	0
YDR454C	0	0	0	0
YDR455C	0	0	0	0
YDR456W	206	0	0	0
YDR457W	197	0	0	0
YDR458C	13	0	0	0
YDR459C	16	0	0	0
YDR460W	0	0	0	0
YDR461C-A	0	0	0	0
YDR461W	0	0	0	0
YDR462W	1	0	0	0
YDR463W	2	1	1	0
YDR464C-A	0	0	0	0
YDR464W	473	1	1	0
YDR465C	5	0	0	0
YDR466W	7	0	0	0
YDR467C	103	0	0	0
YDR468C	25	0	0	0
YDR469W	0	1	48	0
YDR470C	0	0	0	0
YDR471W	49	1	48	0
YDR472W	0	0	0	0
YDR473C	0	0	0	0
YDR475C	57	1	1	0
YDR476C	3	1	1	0
YDR477W	2	0	0	0
YDR478W	0	0	0	0
YDR479C	169	1	13	0
YDR480W	462	2	61	0
YDR481C	56	1	61	0
YDR482C	0	0	0	0
YDR483W	0	0	0	0
YDR484W	0	0	0	0
YDR485C	47	0	0	0
YDR486C	74	1	9	0
YDR487C	0	1	9	0
YDR488C	0	0	0	0
YDR489W	0	0	0	0
YDR490C	0	0	0	0
YDR491C	0	0	0	0
YDR492W	296	0	0	0
YDR493W	5	0	0	0
YDR494W	11	1	95	0
YDR495C	174	2	95	0
YDR496C	0	1	17	0
YDR497C	0	0	0	0
YDR498C	0	0	0	0
YDR499W	14	0	0	0
YDR500C	0	0	0	0
YDR501W	291	0	0	0
YDR502C	0	0	0	0
YDR503C	0	0	0	0
YDR504C	3	0	0	0
YDR505C	791	1	142	0
YDR506C	6	1	142	0
YDR507C	397	0	0	0
YDR508C	24	0	0	0
YDR509W	0	0	0	0
YDR510C-A	0	0	0	0
YDR510W	0	0	0	0
YDR511W	0	0	0	0
YDR512C	490	1	27	0
YDR513W	0	0	0	0
YDR514C	63	1	27	0
YDR515W	73	0	0	0
YDR516C	0	0	0	0
YDR517W	5	1	1	0
YDR518W	6	1	1	0
YDR519W	0	0	0	0
YDR520C	0	0	0	0
YDR521W	0	0	0	0
YDR522C	0	0	0	0
YDR523C	82	0	0	0
YDR524C	0	0	0	0
YDR524C-A	0	0	0	0
YDR524C-B	0	0	0	0
YDR524W-C	0	0	0	0
YDR525W	0	0	0	0
YDR525W-A	8	1	488	240
YDR526C	0	0	0	0
YDR527W	494	1	488	240
YDR528W	0	0	0	0
YDR529C	15	0	0	0
YDR530C	0	0	0	0
YDR531W	0	0	0	0
YDR532C	6	0	0	0
YDR533C	0	0	0	0
YDR534C	590	0	0	0
YDR535C	236	0	0	0
YDR536W	154	0	0	0
YDR537C	0	0	0	0
YDR538W	0	0	0	0
YDR539W	0	0	0	0
YDR540C	254	0	0	0
YDR541C	0	0	0	0
YDR542W	0	0	0	0
YDR543C	0	0	0	0
YDR544C	0	0	0	0
YDR545C-A	0	0	0	0
YDR545W	616	0	0	0
YEL001C	0	0	0	0
YEL002C	0	0	0	0
YEL003W	14	0	0	0
YEL004W	0	1	366	0
YEL005C	465	1	366	0
YEL006W	11	0	0	0
YEL007W	276	0	0	0
YEL008C-A	20	0	0	0
YEL008W	0	0	0	0
YEL009C	3	0	0	0
YEL009C-A	908	0	0	0
YEL010W	0	0	0	0
YEL011W	7	0	0	0
YEL012W	3	0	0	0
YEL013W	2	0	0	0
YEL014C	0	0	0	0
YEL015W	1	0	0	0
YEL016C	0	0	0	0
YEL017C-A	22	0	0	0
YEL017W	0	0	0	0
YEL018C-A	0	0	0	0
YEL018W	4	0	0	0
YEL019C	0	1	791	637
YEL020C	919	1	791	637
YEL020C-B	0	0	0	0
YEL020W-A	0	0	0	0
YEL021W	0	0	0	0
YEL022W	33	0	0	0
YEL023C	1	0	0	0
YEL024W	2	0	0	0
YEL025C	1006	1	84	0
YEL026W	0	1	84	0
YEL027W	0	0	0	0
YEL028W	0	0	0	0
YEL029C	80	0	0	0
YEL030C-A	0	0	0	0
YEL030W	119	0	0	0
YEL031W	115	0	0	0
YEL032C-A	0	0	0	0
YEL032W	7	0	0	0
YEL033W	583	0	0	0
YEL034C-A	0	0	0	0
YEL034W	1	0	0	0
YEL035C	0	0	0	0
YEL036C	6	0	0	0
YEL037C	9	0	0	0
YEL038W	16	0	0	0
YEL039C	0	0	0	0
YEL040W	0	1	73	26
YEL041W	1105	2	418	26
YEL042W	54	1	418	0
YEL043W	51	0	0	0
YEL044W	0	0	0	0
YEL045C	0	0	0	0
YEL046C	0	0	0	0
YEL047C	91	0	0	0
YEL048C	0	0	0	0
YEL049W	0	0	0	0
YEL050C	13	0	0	0
YEL050W-A	0	0	0	0
YEL051W	0	0	0	0
YEL052W	3	0	0	0
YEL053C	1	0	0	0
YEL053W-A	0	0	0	0
YEL054C	0	0	0	0
YEL055C	5	0	0	0
YEL056W	22	0	0	0
YEL057C	174	0	0	0
YEL058W	0	0	0	0
YEL059C-A	0	0	0	0
YEL059W	0	0	0	0
YEL060C	2	0	0	0
YEL061C	9	0	0	0
YEL062W	155	0	0	0
YEL063C	0	0	0	0
YEL064C	57	0	0	0
YEL065W	17	0	0	0
YEL066W	0	0	0	0
YEL067C	806	0	0	0
YEL068C	0	0	0	0
YEL069C	0	0	0	0
YEL070W	500	0	0	0
YEL071W	49	0	0	0
YEL072W	0	0	0	0
YEL073C	128	0	0	0
YEL074W	0	0	0	0
YEL075C	0	0	0	0
YEL075W-A	0	0	0	0
YEL076C	0	0	0	0
YEL076C-A	0	1	31	31
YEL077C	381	1	31	31
YEL077W-A	0	0	0	0
YER001W	617	0	0	0
YER002W	0	0	0	0
YER003C	0	0	0	0
YER004W	0	0	0	0
YER005W	0	0	0	0
YER006C-A	0	0	0	0
YER006W	0	0	0	0
YER007C-A	13	0	0	0
YER007W	0	0	0	0
YER008C	24	0	0	0
YER009W	0	0	0	0
YER010C	5	0	0	0
YER011W	0	0	0	0
YER012W	0	0	0	0
YER013W	286	0	0	0
YER014C-A	0	0	0	0
YER014W	0	0	0	0
YER015W	321	0	0	0
YER016W	3	0	0	0
YER017C	0	1	1	0
YER018C	2	1	1	0
YER019C-A	0	0	0	0
YER019W	6	0	0	0
YER020W	0	0	0	0
YER021W	1	0	0	0
YER022W	5	0	0	0
YER023C-A	0	0	0	0
YER023W	0	1	147	0
YER024W	293	1	147	0
YER025W	0	0	0	0
YER026C	14	0	0	0
YER027C	10	0	0	0
YER028C	0	0	0	0
YER029C	0	0	0	0
YER030W	0	0	0	0
YER031C	0	0	0	0
YER032W	7	1	116	0
YER033C	752	3	116	0
YER034W	0	1	18	0
YER035W	502	1	3	0
YER036C	0	0	0	0
YER037W	47	0	0	0
YER038C	35	0	0	0
YER038W-A	0	0	0	0
YER039C	54	0	0	0
YER039C-A	408	0	0	0
YER040W	0	0	0	0
YER041W	701	1	73	0
YER042W	743	0	0	0
YER043C	2	1	73	0
YER044C	0	0	0	0
YER044C-A	0	0	0	0
YER045C	6	0	0	0
YER046W	0	1	25	0
YER046W-A	19	0	0	0
YER047C	307	2	102	0
YER048C	12	1	102	0
YER048W-A	1	0	0	0
YER049W	3	0	0	0
YER050C	0	0	0	0
YER051W	204	1	142	0
YER052C	0	1	142	0
YER053C	5	0	0	0
YER053C-A	0	0	0	0
YER054C	752	1	528	0
YER055C	62	1	528	0
YER056C	0	1	7	0
YER056C-A	8	1	7	0
YER057C	0	0	0	0
YER058W	0	0	0	0
YER059W	0	1	204	0
YER060W	303	1	204	0
YER060W-A	3	0	0	0
YER061C	0	0	0	0
YER062C	0	0	0	0
YER063W	0	0	0	0
YER064C	0	0	0	0
YER065C	0	0	0	0
YER066C-A	0	0	0	0
YER066W	0	0	0	0
YER067C-A	0	0	0	0
YER067W	0	0	0	0
YER068C-A	0	0	0	0
YER068W	0	0	0	0
YER069W	0	0	0	0
YER070W	0	0	0	0
YER071C	0	0	0	0
YER072W	2	0	0	0
YER073W	0	0	0	0
YER074W	0	0	0	0
YER074W-A	0	0	0	0
YER075C	303	0	0	0
YER076C	59	0	0	0
YER076W-A	0	0	0	0
YER077C	0	0	0	0
YER078C	0	0	0	0
YER078W-A	0	0	0	0
YER079C-A	0	0	0	0
YER079W	0	0	0	0
YER080W	8	0	0	0
YER081W	0	0	0	0
YER082C	139	0	0	0
YER083C	0	0	0	0
YER084W	144	2	120	0
YER084W-A	36	1	34	0
YER085C	0	1	120	0
YER086W	3	0	0	0
YER087C-A	0	0	0	0
YER087C-B	0	0	0	0
YER087W	5	0	0	0
YER088C	594	2	190	107
YER088C-A	2	0	0	0
YER088W-B	0	1	126	0
YER089C	0	1	190	107
YER090C-A	0	0	0	0
YER090W	38	0	0	0
YER091C	5	0	0	0
YER091C-A	0	0	0	0
YER092W	20	0	0	0
YER093C	295	0	0	0
YER093C-A	0	0	0	0
YER094C	4	0	0	0
YER095W	0	0	0	0
YER096W	274	0	0	0
YER097W	0	0	0	0
YER098W	0	0	0	0
YER099C	16	0	0	0
YER100W	0	0	0	0
YER101C	8	0	0	0
YER102W	236	0	0	0
YER103W	10	0	0	0
YER104W	0	0	0	0
YER105C	16	0	0	0
YER106W	0	0	0	0
YER107C	0	0	0	0
YER107W-A	0	0	0	0
YER109C	0	0	0	0
YER110C	3	0	0	0
YER111C	471	0	0	0
YER112W	0	0	0	0
YER113C	5	0	0	0
YER114C	647	0	0	0
YER115C	0	0	0	0
YER116C	0	0	0	0
YER117W	18	0	0	0
YER118C	5	0	0	0
YER119C	4	1	2	2
YER119C-A	0	1	2	2
YER120W	0	0	0	0
YER121W	0	0	0	0
YER122C	0	0	0	0
YER123W	0	0	0	0
YER124C	13	0	0	0
YER125W	0	0	0	0
YER126C	0	1	75	0
YER127W	251	1	75	0
YER128W	30	1	463	0
YER129W	920	2	463	0
YER130C	0	1	102	0
YER131W	219	0	0	0
YER132C	335	0	0	0
YER133W	6	0	0	0
YER133W-A	0	0	0	0
YER134C	0	0	0	0
YER135C	0	0	0	0
YER136W	0	0	0	0
YER137C	0	0	0	0
YER137C-A	0	0	0	0
YER137W-A	0	0	0	0
YER138C	0	0	0	0
YER138W-A	299	0	0	0
YER139C	0	0	0	0
YER140W	0	0	0	0
YER141W	758	0	0	0
YER142C	0	0	0	0
YER143W	0	0	0	0
YER144C	7	0	0	0
YER145C	0	0	0	0
YER145C-A	0	0	0	0
YER146W	0	0	0	0
YER147C	3	0	0	0
YER147C-A	0	0	0	0
YER148W	2	0	0	0
YER148W-A	336	0	0	0
YER149C	3	0	0	0
YER150W	0	0	0	0
YER151C	68	1	1	0
YER152C	19	1	1	0
YER152W-A	0	0	0	0
YER153C	0	0	0	0
YER154W	4	1	121	0
YER155C	260	1	121	0
YER156C	2	0	0	0
YER157W	115	0	0	0
YER158C	24	0	0	0
YER158W-A	0	0	0	0
YER159C	0	0	0	0
YER159C-A	0	0	0	0
YER160C	0	0	0	0
YER161C	6	0	0	0
YER162C	195	0	0	0
YER163C	0	0	0	0
YER164W	552	0	0	0
YER165C-A	0	0	0	0
YER165W	0	0	0	0
YER166W	365	0	0	0
YER167W	152	0	0	0
YER168C	0	0	0	0
YER169W	1	0	0	0
YER170W	886	0	0	0
YER171W	537	0	0	0
YER172C	177	0	0	0
YER172C-A	0	0	0	0
YER173W	167	1	94	0
YER174C	753	2	574	0
YER175C	0	0	0	0
YER175W-A	0	1	574	0
YER176W	26	0	0	0
YER177W	3	0	0	0
YER178W	36	0	0	0
YER179W	0	0	0	0
YER180C	64	0	0	0
YER180C-A	0	0	0	0
YER181C	0	0	0	0
YER182W	0	0	0	0
YER183C	0	0	0	0
YER184C	715	1	133	0
YER185W	0	1	133	0
YER186C	32	0	0	0
YER187W	0	0	0	0
YER188C-A	993	0	0	0
YER188W	0	0	0	0
