gene	chr	strand	orf_span	cds_len	depth_orf1000	depth_ourref	mean_read_len	mtif_support	drs_5	nag_5	final_5	pel_5	drs_3	nag_3	final_3	pel_3	shortfall_5	shortfall_3	shortfall_nt_5	shortfall_nt_3	verdict_5	verdict_3
YCR018C-A	III	-	255	255	17.0	37.0	472.7	0.0	37.0		37		0.0		0							
YCR019W	III	+	1092	1092	44.0	27.0	440.0	67.0	136.0	278.0	278	148.0	116.0	113.0	116	114.0	1.0	0.0	142.0		DRS too short	
YCR020C	III	-	648	648	146.0	59.0	454.5	8.0		397.0	397	455.0		94.0	94	77.0						
YCR020C-A	III	-	267	267	210.0	368.0	482.8	277.0	22.0	17.0	22	18.0	158.0	416.0	416	163.0	0.0	1.0		258.0		DRS too short
YCR020W-B	III	+	237	237	517.0	259.0	453.5	18.0		57.0	57	32.0		515.0	515	486.0						
YCR021C	III	-	999	999	1382.0	1583.0	928.2	35.0	105.0	112.0	112	113.0	121.0	178.0	178	179.0	1.0	1.0	7.0	57.0	both too short	both too short
YCR022C	III	-	345	345	63.0	7.0	358.7	2.0		263.0	263	264.0		279.0	279	280.0						
YCR023C	III	-	1836	1836	188.0	220.0	658.4	394.0	87.0	76.0	87	77.0	243.0	343.0	343	241.0	0.0	1.0		100.0		both too long
YCR024C	III	-	1479	1479	850.0	35.0	464.6	64.0	65.0	155.0	155	19.0	116.0	117.0	117	142.0	1.0	1.0	90.0	1.0	both too long	both too short
YCR024C-A	III	-	123	123	884.0	50.0	484.8	237.0		207.0	207	149.0		314.0	314	536.0						
YCR024C-B	III	-	267	267	841.0	2645.0	477.9	237.0		197.0	197	351.0		198.0	198	190.0						
YCR025C	III	-	411	411	199.0	46.0	590.4	2.0		621.0	621	622.0		23.0	23	24.0						
YCR026C	III	-	2229	2229	65.0	63.0	750.9	20.0	257.0	73.0	257	74.0	218.0	239.0	239	215.0	0.0	1.0		21.0		both too long
YCR027C	III	-	630	630	187.0	91.0	495.1	13.0	176.0	190.0	190	175.0	77.0	634.0	634	638.0	1.0	1.0	14.0	557.0	both too long	both too short
YCR028C	III	-	1539	1539	537.0	97.0	534.5	70.0	103.0	117.0	117	118.0	193.0	800.0	800	258.0	1.0	1.0	14.0	607.0	both too short	DRS too short
YCR028C-A	III	-	491	408	1420.0	1945.0	592.7	1622.0	77.0	60.0	77	61.0	189.0	291.0	291	192.0	0.0	1.0		102.0		DRS too short
YCR030C	III	-	2613	2613	300.0	247.0	561.9	65.0	87.0	959.0	959	85.0	173.0	370.0	370	173.0	1.0	1.0	872.0	197.0	both too long	both too long
YCR031C	III	-	721	414	5674.0	5607.0	455.2	32058.0	0.0	27.0	27	21.0	112.0	918.0	918	101.0	1.0	1.0	27.0	806.0	DRS too short	both too long
YCR032W	III	+	6504	6504	105.0	95.0	775.0	0.0	116.0		116		82.0		82							
YCR033W	III	+	3681	3681	62.0	61.0	667.2	0.0	214.0		214		171.0		171							
YCR034W	III	+	1044	1044	486.0	692.0	709.9	245.0	39.0	53.0	53	26.0	162.0	322.0	322	168.0	1.0	1.0	14.0	160.0	both too long	DRS too short
YCR035C	III	-	1185	1185	391.0	170.0	568.3	26.0	20.0	322.0	322	18.0	151.0	127.0	151	145.0	1.0	0.0	302.0		both too long	
YCR036W	III	+	1002	1002	187.0	266.0	771.4	94.0	32.0	43.0	43	4.0	88.0	184.0	184	83.0	1.0	1.0	11.0	96.0	both too long	both too long
YCR037C	III	-	2772	2772	154.0	59.0	653.2	2.0	32.0		32	34.0	103.0		103	97.0						
YCR038C	III	-	1929	1929	116.0	66.0	682.9	1.0	18.0		18	1698.0	108.0		108	271.0						
YCR038W-A	III	+	126	126	72.0		609.2	0.0			0				0							
YCR039C	III	-	633	633	132.0	348.0	614.5	1.0	0.0		0	1069.0	41.0		41	2196.0						
YCR040W	III	+	528	528	154.0	146.0	607.4	0.0			0				0							
YCR041W	III	+	333	333	103.0	92.0	628.6	0.0	2.0		2		224.0		224							
YCR042C	III	-	4224	4224	179.0	95.0	710.4	0.0	77.0		77		84.0		84							
YCR043C	III	-	384	384	241.0	469.0	530.5	31.0	48.0	32.0	48	33.0	168.0	239.0	239	166.0	0.0	1.0		71.0		both too long
YCR044C	III	-	1074	1074	309.0	117.0	615.9	21.0	11.0	17.0	17	7.0	48.0	161.0	161	87.0	1.0	1.0	6.0	113.0	both too long	DRS too short
YCR045C	III	-	1476	1476	45.0	17.0	614.8	2.0	362.0		362	162.0	162.0		162	62.0						
YCR045W-A	III	+	351	351	13.0	13.0	404.5	67.0	608.0	622.0	622	617.0	621.0	813.0	813	687.0	1.0	1.0	14.0	192.0	DRS too short	DRS too short
YCR046C	III	-	510	510	44.0	96.0	497.5	679.0	51.0	225.0	225	6.0	110.0	103.0	110	104.0	1.0	0.0	174.0		both too long	
YCR047C	III	-	828	828	43.0	17.0	492.5	68.0	79.0	126.0	126	66.0	184.0	200.0	200	201.0	1.0	1.0	47.0	16.0	both too long	both too short
YCR047W-A	III	+	207	207	12.0	14.0	414.2	0.0	782.0		782		93.0		93							
YCR048W	III	+	1833	1833	57.0	63.0	855.0	5.0	40.0	53.0	53	25.0	183.0	214.0	214	195.0	1.0	1.0	13.0	31.0	both too long	DRS too short
YCR049C	III	-	447	447				0.0			0				0							
YCR050C	III	-	309	309	36.0	33.0	569.7	0.0	196.0		196	100.0	752.0		752	77.0						
YCR051W	III	+	669	669	65.0	97.0	482.0	2993.0	111.0	8.0	111	24.0	136.0	258.0	258	132.0	0.0	1.0		122.0		both too long
YCR052W	III	+	1452	1452	136.0	138.0	616.0	210.0	23.0	113.0	113	33.0	186.0	226.0	226	210.0	1.0	1.0	90.0	40.0	DRS too short	DRS too short
YCR053W	III	+	1545	1545	699.0	929.0	923.7	1009.0	93.0	126.0	126	41.0	81.0	151.0	151	77.0	1.0	1.0	33.0	70.0	both too long	both too long
YCR054C	III	-	1692	1692	411.0	119.0	461.7	10.0	98.0	49.0	98	50.0	143.0	228.0	228	180.0	0.0	1.0		85.0		DRS too short
YCR057C	III	-	2772	2772	72.0	53.0	736.7	206.0	59.0	94.0	94	62.0	115.0	112.0	115	113.0	1.0	0.0	35.0		DRS too short	
YCR059C	III	-	777	777	197.0	119.0	508.6	180.0	26.0	19.0	26	14.0	168.0	248.0	248	181.0	0.0	1.0		80.0		DRS too short
YCR060W	III	+	336	336	170.0	298.0	457.7	1.0	44.0	24.0	44	25.0	39.0	122.0	122	123.0	0.0	1.0		83.0		both too short
YCR061W	III	+	1896	1896	63.0	71.0	633.4	213.0	526.0	65.0	526	25.0	198.0	356.0	356	358.0	0.0	1.0		158.0		both too short
YCR063W	III	+	474	474	16.0	18.0	453.0	210.0		118.0	118	22.0		480.0	480	481.0						
YCR064C	III	-	411	411	20.0		422.0	3.0		1.0	1	4.0		29.0	29	4.0						
YCR065W	III	+	1695	1695	49.0	73.0	581.2	27.0	32.0	224.0	224	183.0	1.0	325.0	325	326.0	1.0	1.0	192.0	324.0	DRS too short	both too short
YCR066W	III	+	1464	1464	95.0	58.0	478.1	18.0	39.0	49.0	49	50.0	102.0	181.0	181	165.0	1.0	1.0	10.0	79.0	both too short	DRS too short
YCR067C	III	-	3198	3198	83.0	85.0	875.7	20.0	114.0	118.0	118	119.0	79.0	90.0	90	76.0	1.0	1.0	4.0	11.0	both too short	both too long
YCR068W	III	+	1563	1563	12.0		740.8	18.0	134.0		134	122.0	50.0		50	1356.0						
YCR069W	III	+	957	957	156.0	129.0	673.4	230.0	715.0	1197.0	1197	147.0	81.0	120.0	120	121.0	1.0	1.0	482.0	39.0	both too long	both too short
YCR071C	III	-	441	441	104.0	191.0	506.7	76.0	37.0	13.0	37	45.0	72.0	252.0	252	79.0	0.0	1.0		180.0		DRS too short
YCR072C	III	-	1548	1548	146.0	56.0	550.4	121.0	19.0	41.0	41	34.0	73.0	121.0	121	104.0	1.0	1.0	22.0	48.0	DRS too short	DRS too short
YCR073C	III	-	3996	3996	68.0	98.0	793.0	6.0	55.0		55	65.0	74.0		74	72.0						
YCR073W-A	III	+	948	948	68.0	100.0	759.2	9.0	13.0	22.0	22	18.0	14.0	123.0	123	114.0	1.0	1.0	9.0	109.0	DRS too short	DRS too short
YCR075C	III	-	783	783	104.0	24.0	481.6	2.0	19.0	21.0	21	10.0	146.0	143.0	146	144.0	1.0	0.0	2.0		both too long	
YCR075W-A	III	+	228	228	68.0	138.0	471.6	42.0	23.0	240.0	240	9.0	83.0	79.0	83	80.0	1.0	0.0	217.0		both too long	
YCR076C	III	-	753	753	157.0	53.0	474.1	79.0	13.0	21.0	21	17.0	106.0	222.0	222	105.0	1.0	1.0	8.0	116.0	DRS too short	both too long
YCR077C	III	-	2391	2391	127.0	210.0	924.9	35.0	32.0	41.0	41	42.0	126.0	194.0	194	138.0	1.0	1.0	9.0	68.0	both too short	DRS too short
YCR079W	III	+	1329	1329	47.0	63.0	1002.0	74.0	36.0	57.0	57	27.0	109.0	125.0	125	126.0	1.0	1.0	21.0	16.0	both too long	both too short
YCR081C-A	III	-	237	237	176.0	376.0	528.1	0.0	769.0		769	7.0	526.0		526	130.0						
YCR081W	III	+	4284	4284	165.0	112.0	592.3	0.0	11.0		11		719.0		719							
YCR082W	III	+	387	387	202.0	89.0	474.4	86.0	841.0	1213.0	1213	30.0	94.0	106.0	106	107.0	1.0	1.0	372.0	12.0	both too long	both too short
YCR083W	III	+	384	384	227.0	175.0	494.1	20.0	24.0	34.0	34	35.0	25.0	137.0	137	123.0	1.0	1.0	10.0	112.0	both too short	DRS too short
YCR084C	III	-	2142	2142	160.0	156.0	742.5	14.0	225.0	226.0	226	227.0	311.0	153.0	311	76.0	1.0	0.0	1.0		both too short	
YCR085W	III	+	354	354	19.0	10.0	371.6	0.0			0				0							
YCR086W	III	+	573	573	59.0	33.0	486.0	100.0	98.0	262.0	262	63.0	52.0	46.0	52	53.0	1.0	0.0	164.0		both too long	
YCR087C-A	III	-	462	462	68.0	84.0	504.4	322.0	392.0	417.0	417	36.0	61.0	62.0	62	63.0	1.0	1.0	25.0	1.0	both too long	both too short
YCR087W	III	+	516	516	68.0	92.0	463.7	1.0	49.0		49	634.0	2.0		2	530.0						
YCR088W	III	+	1779	1779	89.0	132.0	675.2	1020.0	28.0	415.0	415	46.0	81.0	132.0	132	133.0	1.0	1.0	387.0	51.0	DRS too short	both too short
YCR089W	III	+	4830	4830	329.0	22.0	542.8	0.0	284.0		284		65.0		65							
YCR090C	III	-	549	549	298.0	557.0	545.9	555.0	35.0	418.0	418	37.0	74.0	66.0	74	70.0	1.0	0.0	383.0		DRS too short	
YCR091W	III	+	2163	2163	26.0	18.0	735.8	4.0	47.0	73.0	73	63.0	139.0	163.0	163	458.0	1.0	1.0	26.0	24.0	DRS too short	both too short
YCR092C	III	-	3057	3057	50.0	55.0	701.2	3.0	31.0	45.0	45	36.0	157.0	159.0	159	155.0	1.0	1.0	14.0	2.0	DRS too short	both too long
YCR093W	III	+	6327	6327	124.0	154.0	1038.7	0.0	17.0		17		117.0		117							
YCR094W	III	+	1176	1176	134.0	117.0	628.9	352.0	51.0	33.0	51	63.0	265.0	511.0	511	274.0	0.0	1.0		246.0		DRS too short
YCR095C	III	-	1089	1089	153.0	143.0	805.4	34.0	44.0	56.0	56	38.0	54.0	94.0	94	56.0	1.0	1.0	12.0	40.0	both too long	DRS too short
YCR095W-A	III	+	159	159	21.0	32.0	755.1	13.0		162.0	162	161.0		1406.0	1406	1407.0						
YCR096C	III	-	360	360	10.0		490.4	0.0			0				0							
YCR097W	III	+	487	381	22.0		609.7	10.0	25.0	43.0	43	12.0	28.0	18.0	28	25.0	1.0	0.0	18.0		both too long	
YCR097W-A	III	+	267	267				0.0			0				0							
YCR098C	III	-	1557	1557	181.0	160.0	752.0	169.0		237.0	237	59.0		240.0	240	258.0						
YCR099C	III	-	468	468	89.0	101.0	479.4	29.0	948.0		948	505.0	242.0		242	263.0						
YCR100C	III	-	951	951	81.0	35.0	821.1	4.0	766.0		766	796.0	675.0		675	705.0						
YCR101C	III	-	549	549				3.0			0	4.0			0	1916.0						
YCR102C	III	-	1107	1107	56.0	53.0	646.2	9.0	185.0	69.0	185	70.0	63.0	270.0	270	271.0	0.0	1.0		207.0		both too short
YCR102W-A	III	+	198	198	5.0		663.4	1.0			0	779.0			0	1379.0						
YCR104W	III	+	375	375	8.0		527.2	1.0			0	1845.0			0	136.0						
YCR105W	III	+	1086	1086	43.0	43.0	499.2	0.0	829.0		829		54.0		54							
YCR106W	III	+	2499	2499	29.0	23.0	741.0	2.0			0	30.0			0	1850.0						
YCR107W	III	+	1092	1092	78.0	92.0	697.8	3.0	408.0		408	864.0	127.0		127	258.0						
YCR108C	III	-	192	192	7.0		262.9	0.0			0				0							
YDL001W	IV	+	1293	1293	133.0	131.0	756.9	14.0	68.0	73.0	73	78.0	120.0	133.0	133	116.0	1.0	1.0	5.0	13.0	both too short	both too long
YDL002C	IV	-	612	612	205.0	274.0	610.9	73.0	97.0	66.0	97	85.0	287.0	530.0	530	285.0	0.0	1.0		243.0		both too long
YDL003W	IV	+	1701	1701	162.0	82.0	550.7	4.0	112.0	126.0	126	127.0	131.0	123.0	131	115.0	1.0	0.0	14.0		both too short	
YDL004W	IV	+	483	483	1136.0	1139.0	552.1	1459.0	49.0	53.0	53	43.0	229.0	388.0	388	198.0	1.0	1.0	4.0	159.0	both too long	both too long
YDL005C	IV	-	1296	1296	106.0	119.0	726.3	7.0	40.0	58.0	58	24.0	182.0	222.0	222	209.0	1.0	1.0	18.0	40.0	both too long	DRS too short
YDL006W	IV	+	846	846	255.0	152.0	591.0	22.0	373.0	339.0	373	140.0	114.0	228.0	228	116.0	0.0	1.0		114.0		DRS too short
YDL007C-A	IV	-	258	258	8.0		529.2	0.0			0				0							
YDL007W	IV	+	1314	1314	325.0	411.0	893.5	224.0	31.0	46.0	46	33.0	74.0	143.0	143	73.0	1.0	1.0	15.0	69.0	DRS too short	both too long
YDL008W	IV	+	498	498	153.0	271.0	527.2	31.0	19.0	68.0	68	30.0	100.0	141.0	141	114.0	1.0	1.0	49.0	41.0	DRS too short	DRS too short
YDL009C	IV	-	324	324	169.0	39.0	554.1	1.0	53.0		53	91.0	332.0		332	28.0						
YDL010W	IV	+	696	696	77.0	127.0	611.7	26.0	32.0	27.0	32	28.0	162.0	408.0	408	258.0	0.0	1.0		246.0		DRS too short
YDL011C	IV	-	324	324	50.0		634.4	0.0			0				0							
YDL012C	IV	-	410	324	184.0	276.0	485.6	249.0	257.0	554.0	554	17.0	174.0	163.0	174	151.0	1.0	0.0	297.0		both too long	
YDL013W	IV	+	1860	1860	539.0	66.0	379.3	38.0	149.0	160.0	160	135.0	102.0	113.0	113	114.0	1.0	1.0	11.0	11.0	both too long	both too short
YDL014W	IV	+	984	984	1172.0	1548.0	724.1	2749.0	138.0	148.0	148	143.0	169.0	258.0	258	165.0	1.0	1.0	10.0	89.0	DRS too short	both too long
YDL015C	IV	-	933	933	554.0	618.0	919.7	79.0	42.0	65.0	65	53.0	232.0	243.0	243	244.0	1.0	1.0	23.0	11.0	DRS too short	both too short
YDL016C	IV	-	303	303	283.0	450.0	693.0	0.0	965.0		965		878.0		878							
YDL017W	IV	+	1524	1524	252.0	21.0	563.6	5.0	95.0	16.0	95	34.0	117.0	113.0	117	128.0	0.0	0.0				
YDL018C	IV	-	678	678	158.0	154.0	619.1	223.0	60.0	72.0	72	60.0	48.0	272.0	272	89.0	1.0	1.0	12.0	224.0	both too long	DRS too short
YDL019C	IV	-	3852	3852	145.0	98.0	501.2	3.0	200.0	106.0	200	213.0	91.0	151.0	151	90.0	0.0	1.0		60.0		both too long
YDL020C	IV	-	1596	1596	372.0	576.0	639.0	15.0	213.0	243.0	243	244.0	127.0	159.0	159	143.0	1.0	1.0	30.0	32.0	both too short	DRS too short
YDL021W	IV	+	936	936	221.0	41.0	443.5	35.0	63.0	69.0	69	24.0	77.0	185.0	185	75.0	1.0	1.0	6.0	108.0	both too long	both too long
YDL022C-A	IV	-	249	249				0.0			0				0							
YDL022W	IV	+	1176	1176	189.0	203.0	771.6	86.0	62.0	142.0	142	65.0	190.0	228.0	228	156.0	1.0	1.0	80.0	38.0	DRS too short	both too long
YDL023C	IV	-	321	321	33.0	29.0	1243.1	1.0	964.0		964	1038.0	26.0		26	70.0						
YDL024C	IV	-	1407	1407	34.0	11.0	367.1	3.0	279.0	10.0	279	11.0	267.0	251.0	267	252.0	0.0	0.0				
YDL025C	IV	-	1863	1863	81.0	175.0	868.4	52.0	199.0	866.0	866	196.0	131.0	181.0	181	107.0	1.0	1.0	667.0	50.0	both too long	both too long
YDL025W-A	IV	+	105	105	44.0	21.0	746.0	2.0	206.0		206	120.0	278.0		278	1892.0						
YDL026W	IV	+	312	312	39.0		526.1	1.0		251.0	251	252.0		176.0	176	177.0						
YDL027C	IV	-	1263	1263	128.0	148.0	689.5	49.0	42.0	45.0	45	46.0	102.0	196.0	196	93.0	1.0	1.0	3.0	94.0	both too short	both too long
YDL028C	IV	-	2295	2295	226.0	62.0	518.3	16.0	98.0	175.0	175	176.0	157.0	159.0	159	154.0	1.0	1.0	77.0	2.0	both too short	both too long
YDL029W	IV	+	1299	1176	280.0	367.0	782.2	194.0	0.0	22.0	22	20.0	134.0	343.0	343	127.0	1.0	1.0	22.0	209.0	DRS too short	both too long
YDL030W	IV	+	1593	1593	122.0	74.0	501.9	52.0	66.0	143.0	143	79.0	83.0	90.0	90	91.0	1.0	1.0	77.0	7.0	DRS too short	both too short
YDL031W	IV	+	2988	2988	130.0	211.0	844.1	107.0	42.0	55.0	55	52.0	92.0	136.0	136	76.0	1.0	1.0	13.0	44.0	DRS too short	both too long
YDL032W	IV	+	312	312	6.0		570.3	0.0			0	91.0			0	260.0						
YDL033C	IV	-	1254	1254	18.0	32.0	808.9	10.0	35.0	38.0	38	39.0	198.0	254.0	254	253.0	1.0	1.0	3.0	56.0	both too short	DRS too short
YDL034W	IV	+	345	345	13.0		418.5	0.0			0				0							
YDL035C	IV	-	2886	2886	108.0	142.0	956.4	2.0	225.0	283.0	283	284.0	143.0	130.0	143	131.0	1.0	0.0	58.0		both too short	
YDL036C	IV	-	1389	1389	185.0	132.0	506.3	15.0	200.0	17.0	200	9.0	132.0	225.0	225	145.0	0.0	1.0		93.0		DRS too short
YDL037C	IV	-	987	987	26.0		450.0	1.0			0	187.0			0	2730.0						
YDL039C	IV	-	2097	2097	108.0	145.0	1109.1	1.0	991.0		991	1693.0	101.0		101	114.0						
YDL040C	IV	-	2565	2565	196.0	223.0	935.7	94.0	15.0	68.0	68	30.0	113.0	111.0	113	112.0	1.0	0.0	53.0		DRS too short	
YDL041W	IV	+	354	354	43.0	21.0	362.2	4.0		33.0	33	34.0		419.0	419	420.0						
YDL042C	IV	-	1689	1689	83.0	56.0	591.2	21.0	48.0	82.0	82	56.0	115.0	119.0	119	120.0	1.0	1.0	34.0	4.0	DRS too short	both too short
YDL043C	IV	-	801	801	94.0	89.0	745.1	30.0	42.0	14.0	42	38.0	311.0	443.0	443	310.0	0.0	1.0		132.0		both too long
YDL044C	IV	-	1323	1323	65.0	60.0	562.3	38.0	179.0	550.0	550	25.0	74.0	75.0	75	76.0	1.0	1.0	371.0	1.0	both too long	both too short
YDL045C	IV	-	921	921	183.0	130.0	611.8	48.0	136.0	184.0	184	110.0	128.0	126.0	128	127.0	1.0	0.0	48.0		both too long	
YDL045W-A	IV	+	288	288	217.0	209.0	524.4	207.0	43.0	219.0	219	24.0	127.0	114.0	127	121.0	1.0	0.0	176.0		both too long	
YDL046W	IV	+	522	522	290.0	310.0	600.9	253.0	84.0	45.0	84	40.0	273.0	377.0	377	277.0	0.0	1.0		104.0		DRS too short
YDL047W	IV	+	936	936	133.0	156.0	887.0	1.0	230.0	150.0	230	143.0	278.0	242.0	278	64.0	0.0	0.0				
YDL048C	IV	-	1473	1473	296.0	284.0	650.3	97.0	39.0	49.0	49	50.0	89.0	137.0	137	86.0	1.0	1.0	10.0	48.0	both too short	both too long
YDL049C	IV	-	807	807	206.0	95.0	478.3	14.0		169.0	169	99.0		258.0	258	266.0						
YDL050C	IV	-	372	372	297.0	194.0	682.0	0.0	89.0		89		318.0		318							
YDL051W	IV	+	828	828	305.0	545.0	653.2	97.0	33.0	105.0	105	23.0	109.0	261.0	261	97.0	1.0	1.0	72.0	152.0	both too long	both too long
YDL052C	IV	-	912	912	135.0	150.0	766.1	590.0	52.0	51.0	52	52.0	82.0	280.0	280	77.0	0.0	1.0		198.0		both too long
YDL053C	IV	-	558	558	213.0	267.0	612.6	72.0	187.0	212.0	212	198.0	178.0	189.0	189	190.0	1.0	1.0	25.0	11.0	DRS too short	both too short
YDL054C	IV	-	1461	1461	386.0	212.0	455.5	32.0	75.0	121.0	121	89.0	78.0	86.0	86	79.0	1.0	1.0	46.0	8.0	DRS too short	DRS too short
YDL055C	IV	-	1086	1086	2969.0	4062.0	1003.1	642.0	151.0	148.0	151	149.0	147.0	317.0	317	147.0	0.0	1.0		170.0		both too long
YDL056W	IV	+	2502	2502	1201.0	83.0	504.1	1.0	86.0		86	71.0	77.0		77	61.0						
YDL057W	IV	+	987	987	43.0	57.0	590.0	12.0	23.0	52.0	52	35.0	42.0	212.0	212	41.0	1.0	1.0	29.0	170.0	DRS too short	both too long
YDL058W	IV	+	5373	5373	29.0	37.0	860.7	0.0	404.0		404		137.0		137							
YDL059C	IV	-	717	717	135.0	69.0	462.2	1.0	132.0	107.0	132	108.0	229.0	259.0	259	260.0	0.0	1.0		30.0		both too short
YDL060W	IV	+	2367	2367	213.0	265.0	628.6	0.0	9.0		9		19.0		19							
YDL061C	IV	-	592	171	1998.0	6057.0	372.6	4173.0		55.0	55	32.0		324.0	324	167.0						
YDL062W	IV	+	426	426	2092.0		367.6	0.0			0				0							
YDL063C	IV	-	1863	1863	2207.0	243.0	399.5	34.0	221.0	67.0	221	87.0	69.0	244.0	244	144.0	0.0	1.0		175.0		DRS too short
YDL064W	IV	+	584	474	167.0	238.0	518.5	181.0	0.0	823.0	823	40.0	122.0	91.0	122	100.0	1.0	0.0	823.0		DRS too short	
YDL065C	IV	-	1029	1029	277.0	71.0	549.1	53.0	12.0	96.0	96	19.0	24.0	114.0	114	24.0	1.0	1.0	84.0	90.0	DRS too short	both too long
YDL066W	IV	+	1287	1287	536.0	418.0	601.3	436.0	165.0	16.0	165	17.0	91.0	499.0	499	141.0	0.0	1.0		408.0		DRS too short
YDL067C	IV	-	180	180	233.0	906.0	412.3	542.0		280.0	280	46.0		227.0	227	234.0						
YDL068W	IV	+	330	330	352.0	85.0	471.8	1.0	498.0	12.0	498	13.0	94.0	239.0	239	240.0	0.0	1.0		145.0		both too short
YDL069C	IV	-	690	690	400.0	88.0	474.2	30.0	122.0	148.0	148	133.0	125.0	122.0	125	123.0	1.0	0.0	26.0		DRS too short	
YDL070W	IV	+	1917	1917	226.0	387.0	631.5	194.0	21.0	258.0	258	23.0	167.0	156.0	167	157.0	1.0	0.0	237.0		DRS too short	
YDL071C	IV	-	375	375	195.0		603.0	2.0			0	3402.0			0	918.0						
YDL072C	IV	-	612	612	244.0	633.0	537.4	506.0	223.0	452.0	452	63.0	88.0	87.0	88	88.0	1.0	0.0	229.0		both too long	
YDL073W	IV	+	2955	2955	289.0	83.0	626.2	5.0	152.0		152	186.0	56.0		56	56.0						
YDL074C	IV	-	2103	2103	295.0	267.0	796.9	57.0	62.0	71.0	71	72.0	107.0	134.0	134	109.0	1.0	1.0	9.0	27.0	both too short	DRS too short
YDL075W	IV	+	763	342	8449.0	8387.0	408.3	10869.0	0.0	154.0	154	31.0	71.0	106.0	106	67.0	1.0	1.0	154.0	35.0	DRS too short	both too long
YDL076C	IV	-	885	885	123.0	173.0	627.5	15.0	134.0	146.0	146	147.0	98.0	226.0	226	227.0	1.0	1.0	12.0	128.0	both too short	both too short
YDL077C	IV	-	3150	3150	129.0	88.0	633.2	1.0	169.0		169	148.0	69.0		69	65.0						
YDL078C	IV	-	1032	1032	358.0	377.0	889.5	304.0	61.0	378.0	378	72.0	92.0	65.0	92	84.0	1.0	0.0	317.0		DRS too short	
YDL079C	IV	-	1798	1506	98.0	60.0	527.8	102.0	259.0		259	36.0	120.0		120	128.0						
YDL080C	IV	-	1830	1830	2993.0	57.0	488.3	12.0	125.0	177.0	177	185.0	172.0	167.0	172	168.0	1.0	0.0	52.0		both too short	
YDL081C	IV	-	321	321	3984.0	9574.0	492.8	4813.0	64.0	66.0	66	66.0	98.0	371.0	371	108.0	1.0	1.0	2.0	273.0	both too short	DRS too short
YDL082W	IV	+	965	600	4831.0	1843.0	525.8	1352.0	0.0	28.0	28	29.0	138.0	386.0	386	136.0	1.0	1.0	28.0	248.0	both too short	both too long
YDL083C	IV	-	864	432	3920.0	7249.0	486.3	30410.0	0.0	1693.0	1693	18.0	134.0	124.0	134	130.0	1.0	0.0	1693.0		DRS too short	
YDL084W	IV	+	1341	1341	4705.0	890.0	605.7	1118.0	168.0	159.0	168	168.0	76.0	307.0	307	87.0	0.0	1.0		231.0		DRS too short
YDL085C-A	IV	-	207	207	99.0	937.0	526.5	257.0		4124.0	4124	59.0		439.0	439	245.0						
YDL085W	IV	+	1638	1638	29.0		436.3	3.0	36.0		36	89.0	77.0		77	83.0						
YDL086C-A	IV	-	435	435	109.0	128.0	575.4	6.0	342.0	169.0	342	129.0	231.0	354.0	354	256.0	0.0	1.0		123.0		DRS too short
YDL086W	IV	+	822	822	121.0	106.0	568.9	709.0	9.0	193.0	193	5.0	70.0	84.0	84	59.0	1.0	1.0	184.0	14.0	both too long	both too long
YDL087C	IV	-	786	786	13.0	21.0	595.7	10.0	242.0	12.0	242	13.0	160.0	965.0	965	160.0	0.0	1.0		805.0		both too long
YDL088C	IV	-	1587	1587	135.0	151.0	779.9	18.0	381.0	133.0	381	128.0	155.0	151.0	155	154.0	0.0	0.0				
YDL089W	IV	+	1455	1455	115.0	91.0	595.7	60.0	282.0	322.0	322	293.0	76.0	71.0	76	72.0	1.0	0.0	40.0		DRS too short	
YDL090C	IV	-	1296	1296	30.0	39.0	741.4	18.0	22.0	492.0	492	7.0	55.0	52.0	55	131.0	1.0	0.0	470.0		both too long	
YDL091C	IV	-	1368	1368	265.0	63.0	544.3	152.0	94.0	87.0	94	88.0	95.0	121.0	121	102.0	0.0	1.0		26.0		DRS too short
YDL092W	IV	+	441	441	288.0	449.0	493.0	269.0	12.0	41.0	41	23.0	139.0	204.0	204	146.0	1.0	1.0	29.0	65.0	DRS too short	DRS too short
YDL093W	IV	+	2232	2232	165.0	116.0	605.5	26.0	37.0	78.0	78	48.0	271.0	267.0	271	268.0	1.0	0.0	41.0		DRS too short	
YDL094C	IV	-	510	510	121.0	49.0	482.8	2.0	19.0		19	2112.0	266.0		266	114.0						
YDL095W	IV	+	2454	2454	173.0	325.0	983.3	218.0	19.0	29.0	29	30.0	103.0	398.0	398	77.0	1.0	1.0	10.0	295.0	both too short	both too long
YDL096C	IV	-	327	327				1.0			0	34.0			0	1698.0						
YDL097C	IV	-	1305	1305	432.0	599.0	833.8	127.0	34.0	57.0	57	32.0	80.0	163.0	163	98.0	1.0	1.0	23.0	83.0	both too long	DRS too short
YDL098C	IV	-	585	585	267.0	55.0	492.4	15.0	22.0	88.0	88	10.0	135.0	137.0	137	138.0	1.0	1.0	66.0	2.0	both too long	both too short
YDL099W	IV	+	1026	1026	104.0	149.0	610.5	33.0	58.0	51.0	58	54.0	71.0	599.0	599	81.0	0.0	1.0		528.0		DRS too short
YDL100C	IV	-	1065	1065	346.0	539.0	733.2	514.0	44.0	35.0	44	36.0	80.0	156.0	156	81.0	0.0	1.0		76.0		DRS too short
